Gene,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30
AARS,1332,939,1157,79,258,575,200,0,554,1392,866,606,11,74,27,0,0,1746,769,1098,330,626,1041,656,410,672,772,495,620,887
AARS2,527,596,523,68,90,397,77,446,203,339,503,313,8,69,21,1,0,957,418,326,3,444,442,269,107,533,582,337,332,590
AARSD1,42,70,12,120,58,131,3,0,24,15,42,56,0,2,1,280,3,41,29,22,0,0,31,24,9,48,42,37,10,20
AASDH,266,236,79,1,6,63,14,0,72,259,97,33,0,0,0,0,0,99,198,287,0,0,341,200,78,119,100,128,62,84
AASDHPPT,411,352,45,3,9,78,9,3,75,433,76,36,1,106,1,0,1,106,335,454,0,0,504,347,127,133,190,144,82,145
AASS,66,95,0,0,0,86,0,0,20,37,68,5,0,2,0,0,0,82,33,35,0,1,129,47,4,41,81,28,13,14
AATF,2389,2316,1697,661,858,1093,365,279,1669,3093,1479,2045,219,122,178,203,626,3259,1725,2090,76,2361,2225,2312,2342,2157,2418,1706,1544,2297
AATK,1290,1205,1020,259,422,100,404,52,1301,1397,728,4158,160,418,525,612,9,358,626,3973,0,1759,1694,2575,254,3387,3081,2418,1281,497
AATK-AS1,2,0,1,0,1,0,0,0,0,1,0,0,2,0,4,0,0,0,0,0,0,0,1,0,0,8,1,4,2,0
AB015752.3,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,7,1,1,0,0,1,1,0,2,0,1,0,0
AB019438.66,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0
AB019440.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AB019440.50,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AB019441.29,1459,1209,994,1156,558,638,286,11,504,1017,835,1294,2,21,11,607,628,1723,264,285,73,483,536,477,1050,884,1394,346,502,1733
ABAT,562,1003,668,118,276,198,183,76,335,847,243,314,116,52,86,37,156,764,488,1406,0,481,651,921,307,795,1572,629,594,548
ABC12-47043100G14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABC7-42389800N19.1,1299,1239,1119,774,494,1289,359,65,853,1039,951,1234,6,63,19,408,0,1420,89,927,129,877,273,640,509,1164,2640,1187,909,1588
ABC7-43041300I9.1,9,14,12,8,7,6,1,0,7,6,5,23,0,2,2,3,5,3,4,25,0,2,12,11,9,3,1,12,5,5
ABCA1,1830,1398,222,117,124,199,23,347,68,848,158,358,4,378,89,1,115,174,1100,1003,1,584,761,2467,1615,1400,1110,630,196,1290
ABCA10,32,34,1,1,0,0,0,0,0,9,5,2,0,1,0,0,0,13,13,23,0,1,26,31,7,8,18,16,2,4
ABCA11P,1,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,7,1,2,1,1,1,0,0
ABCA12,0,3,0,1,2,0,0,0,0,2,1,0,0,1,0,0,1,1,1,1,1,1,0,1,2,2,1,4,2,2
ABCA13,442,36,1,2,7,3,0,0,3,13,5,12,1,0,7,0,0,1,30,178,0,3,61,115,19,36,66,72,14,217
ABCA17P,9,5,4,0,0,0,1,0,3,1,7,23,2,0,1,0,0,1,3,4,2,0,6,3,1,3,13,7,6,7
ABCA2,8085,7564,6057,107,527,1879,679,160,3420,5647,7423,5610,238,851,546,806,1,7042,5780,4345,134,4848,7397,6246,860,10131,9007,5683,4360,3440
ABCA3,520,485,617,76,220,204,55,3,378,432,339,392,9,40,26,0,1,644,321,239,0,508,415,197,57,431,554,248,436,196
ABCA4,5,1,2,1,0,8,0,0,2,0,1,1,1,1,2,1,0,1,0,3,2,2,1,2,2,0,1,8,8,4
ABCA5,715,671,87,14,32,83,8,1,89,241,160,23,0,0,9,0,0,60,286,228,0,0,573,448,96,239,294,216,76,85
ABCA6,20,11,0,0,13,0,0,1,3,0,1,1,4,4,2,0,1,20,10,13,0,2,23,7,2,2,17,20,1,1
ABCA7,5517,5535,10239,3953,6004,7013,2763,1993,8151,8259,10170,20525,785,1275,1089,2514,1225,11726,6969,10310,539,8440,7278,11224,3355,18857,18193,8801,7941,4427
ABCA8,1,2,1,11,12,2,0,1,6,6,1,2,0,1,1,4,3,5,1,1,0,1,3,5,7,5,1,7,9,5
ABCA9,19,2,2,1,1,3,0,0,3,0,8,1,0,2,1,1,1,0,11,7,0,1,7,2,0,12,2,5,2,0
ABCA9-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
ABCB1,738,448,410,2,23,126,22,0,231,509,321,50,0,43,8,0,2,505,493,133,0,400,787,386,60,339,426,177,225,570
ABCB10,465,364,68,16,17,119,26,2,146,436,247,63,3,2,17,0,0,198,389,407,0,0,409,309,89,196,324,246,72,178
ABCB10P1,6,4,12,0,0,0,0,2,0,4,11,2,1,0,0,0,0,10,3,0,0,0,10,8,8,9,25,4,0,6
ABCB10P3,1,1,1,2,0,0,0,1,0,0,0,0,1,0,2,0,1,1,0,2,0,0,3,3,0,1,1,1,0,0
ABCB10P4,7,9,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,8,0,1,0,0,4,8,8,5,11,2,1,4
ABCB11,3,12,29,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,4,3,3,1,0
ABCB4,205,184,75,0,48,126,35,2,30,158,216,57,0,5,0,0,0,222,200,34,1,24,162,162,37,123,178,78,18,61
ABCB5,5,3,0,0,1,1,0,4,0,0,0,0,0,45,1,0,0,1,1,2,0,0,1,1,2,1,0,2,1,0
ABCB6,36,15,2,1,0,2,1,0,10,27,13,14,0,50,28,0,0,104,14,30,0,0,23,21,10,15,28,28,21,21
ABCB7,561,400,106,0,8,171,30,0,163,408,254,102,0,0,1,0,0,234,331,454,0,220,498,341,160,196,283,226,91,345
ABCB8,979,987,816,226,386,1049,249,354,609,837,1253,866,1,41,54,149,0,1512,887,817,6,510,902,482,197,963,1139,635,792,924
ABCB9,82,85,103,86,117,189,15,28,41,162,51,114,6,75,55,21,298,246,77,102,3,9,63,51,24,77,69,83,109,115
ABCC1,2916,2647,1579,241,394,1783,303,440,1030,4048,1706,1094,81,191,208,387,0,3293,2260,1932,107,1974,2566,2132,915,2331,3485,2022,1971,3286
ABCC10,1632,1492,1507,29,111,977,178,75,658,1097,1629,924,110,146,70,70,0,2323,1048,851,59,827,1189,697,281,1730,2015,1035,805,775
ABCC11,3,0,0,1,1,0,0,0,0,1,0,2,0,0,0,1,1,1,1,3,0,3,2,8,3,1,13,16,3,2
ABCC12,2,3,0,2,3,0,0,0,1,2,1,1,2,0,1,0,0,2,1,1,0,4,0,0,3,0,1,5,1,4
ABCC13,7,2,0,2,36,0,0,0,0,0,0,2,0,0,1,0,1,3,1,7,0,2,1,5,2,2,1,3,9,9
ABCC2,210,161,90,51,8,57,4,1,33,142,65,19,0,1,0,1,0,83,93,109,0,82,177,205,39,118,227,91,39,119
ABCC3,468,815,1240,198,923,1349,231,288,384,749,459,793,7,216,56,449,412,2466,1041,1148,0,616,701,1334,382,364,1468,584,752,1489
ABCC4,267,222,56,3,11,191,30,1,45,160,83,61,0,3,13,0,2,126,150,211,0,204,153,160,41,81,194,123,57,77
ABCC5,2202,2108,667,222,88,568,158,1,726,1544,1154,678,24,0,63,0,0,1048,1202,1980,307,781,2516,4256,747,2499,2678,1525,866,480
ABCC5-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC6,60,37,19,0,15,0,9,0,65,113,38,39,1,25,7,0,0,39,37,96,1,73,103,114,24,80,168,66,93,125
ABCC6P1,1,1,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,1,0,5,0,0,2,3,0,3,1,2,2,8
ABCC6P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2,0,0
ABCC8,3,1,1,1,0,2,2,1,0,0,0,2,0,0,2,0,0,1,1,8,0,3,1,2,0,2,1,2,2,2
ABCC9,1,4,1,1,2,4,0,2,0,1,0,1,2,0,1,0,0,1,0,4,0,2,2,4,2,2,0,4,1,1
ABCD1,627,604,786,479,928,644,105,77,782,879,589,1669,4,2,93,317,259,996,744,1220,0,685,604,706,459,965,1168,582,569,501
ABCD1P2,0,0,0,1,3,0,0,0,1,1,1,0,1,0,2,1,0,1,0,3,1,1,1,2,1,0,4,1,0,1
ABCD1P3,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,1,0
ABCD1P4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
ABCD1P5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ABCD2,269,290,38,0,2,16,5,0,43,180,81,6,0,0,2,0,1,75,303,266,0,1,260,252,64,100,115,99,27,72
ABCD3,283,343,22,0,0,81,12,1,69,190,129,47,1,0,6,0,0,132,308,422,119,2,344,272,90,119,193,127,50,70
ABCD4,1511,1659,984,127,132,805,120,3,618,1152,1180,616,0,80,57,108,393,1583,1081,945,4,574,1273,903,423,1280,1518,916,1031,2162
ABCE1,675,429,96,47,43,117,11,0,82,348,134,58,5,29,4,4,338,97,477,509,109,1255,513,352,145,144,165,132,56,90
ABCF1,4204,4039,3559,1682,1247,3081,777,501,2352,4435,3054,2446,259,228,464,618,293,4375,2058,1469,339,2676,2609,2407,1746,3962,3875,2739,2480,5031
ABCF2,1458,1134,1088,246,216,633,146,37,700,1512,1096,503,22,96,19,200,1,2321,835,1077,1,967,1243,842,460,942,1076,592,896,1595
ABCF2P1,58,34,30,4,1,3,2,0,2,21,37,28,0,0,0,0,0,36,5,2,0,17,24,17,12,39,34,7,18,30
ABCF2P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ABCF3,1522,2042,1481,263,458,1154,308,210,1107,1704,1520,1239,88,114,48,3,0,2030,1176,1077,0,935,1475,1483,1360,1891,2628,1210,942,3082
ABCG1,985,1381,689,87,595,531,249,15,190,1663,330,498,13,41,111,34,1,598,540,909,79,375,549,1572,1118,1453,1429,896,558,2925
ABCG2,7,14,1,1,0,0,0,1,0,8,0,2,1,1,5,0,0,32,7,2,0,3,16,4,5,5,7,12,7,1
ABCG4,0,7,0,1,1,0,0,3,0,1,0,2,1,1,1,3,0,5,2,8,0,2,2,5,4,3,3,10,1,3
ABCG5,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,2,0,0,1,1,0,0,1,1
ABCG8,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,2,0,0
ABHD1,12,26,28,0,4,19,0,1,8,17,2,24,1,1,1,0,0,0,12,5,188,1,13,12,0,13,22,26,5,4
ABHD10,279,347,92,48,64,58,11,0,68,262,146,83,0,0,8,0,0,224,184,291,0,1,275,202,106,112,134,89,43,122
ABHD11,192,205,385,142,134,375,98,113,227,147,396,332,77,9,16,1,9,467,154,205,0,258,176,139,139,429,488,268,160,262
ABHD12,730,759,500,55,243,408,160,70,491,844,673,529,76,115,77,27,168,1107,520,653,78,389,648,416,444,681,959,572,594,1629
ABHD12B,1,2,1,3,3,0,0,0,2,1,0,0,7,9,0,0,0,0,17,2,0,2,1,2,1,2,3,4,2,1
ABHD13,648,663,276,54,49,133,43,0,186,513,194,248,25,29,18,112,0,239,494,974,0,0,548,1167,724,284,460,245,168,402
ABHD14A,169,204,241,211,184,167,36,0,166,289,255,283,0,0,0,14,54,585,170,254,0,619,218,107,100,336,364,177,285,383
ABHD14A-ACY1,12,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,2,0,0,0,2,1,0,2,10,0,0,1
ABHD14B,1068,1400,789,328,344,1216,187,25,653,1512,850,853,7,1,23,416,0,2676,1099,1271,612,2948,966,558,548,964,1312,952,1592,1944
ABHD15,649,506,875,78,65,234,69,47,341,924,427,180,24,4,33,0,2,1249,536,431,199,890,537,360,103,494,573,348,301,322
ABHD16A,146,185,139,0,5,136,24,14,131,144,199,154,1,94,24,17,1,241,242,208,0,138,213,287,361,415,463,173,171,281
ABHD16B,0,4,2,1,0,0,0,1,0,1,0,1,3,2,2,0,1,0,0,1,0,2,0,1,0,1,2,1,0,0
ABHD17A,7112,6265,6442,1056,993,3123,1228,667,3643,5665,5432,5108,296,480,371,244,182,6947,2713,1488,717,3696,4917,2860,2488,6061,6652,2966,4042,6523
ABHD17AP1,62,51,31,4,1,5,5,2,19,33,49,102,0,0,0,0,3,70,29,17,0,18,48,21,18,37,48,19,25,50
ABHD17AP2,66,43,38,3,1,4,5,1,22,19,58,110,1,1,5,3,4,61,21,30,0,18,50,23,11,44,36,18,16,37
ABHD17AP3,67,42,62,2,6,14,4,0,18,21,78,70,0,0,2,0,0,41,18,26,8,13,52,30,14,29,42,18,26,41
ABHD17AP4,34,18,11,0,3,6,9,0,10,5,45,28,0,1,2,0,0,26,5,9,1,2,25,17,10,24,31,8,8,17
ABHD17AP5,75,41,63,1,3,9,7,1,25,67,64,54,2,0,1,0,3,58,19,22,1,6,44,34,16,42,52,18,21,32
ABHD17AP6,29,31,10,2,12,5,2,0,8,11,58,37,1,0,1,0,6,61,21,17,0,9,39,16,7,29,33,16,15,11
ABHD17B,389,352,87,44,13,68,16,46,102,450,80,199,10,0,9,0,2,183,297,237,0,92,344,530,152,154,130,197,138,296
ABHD17C,25,52,42,1,8,1,3,26,15,23,43,30,36,16,38,2,243,71,56,35,0,164,59,79,21,51,66,50,27,47
ABHD2,4413,7209,3038,639,592,951,672,315,3008,7038,1922,3046,141,269,439,187,3,3434,2877,8762,0,4675,4171,10007,10007,6582,6302,4603,3463,8296
ABHD3,1714,1392,561,1577,832,483,94,6,490,1590,673,621,3,8,147,119,0,554,796,1999,187,858,1217,2371,2134,1471,1842,1049,430,476
ABHD4,1009,1288,1220,354,227,304,204,0,652,1935,554,1103,8,71,87,0,1,1178,776,1718,172,1451,1118,2310,1485,1634,2470,1340,1374,2171
ABHD5,1841,2233,628,721,225,214,137,1,721,1791,361,830,118,48,22,7,1,414,770,1666,0,672,1463,6510,2235,1756,2512,1155,765,1051
ABHD6,100,156,34,5,22,17,6,105,71,328,67,94,59,7,19,0,0,228,134,196,0,2,163,138,23,74,125,96,120,84
ABHD8,215,148,351,289,566,261,58,2,281,321,266,909,18,1,15,276,0,574,200,405,0,296,245,284,88,413,479,201,205,420
ABI1,3391,3092,1126,122,166,848,196,0,922,3145,1070,465,7,12,91,85,18,1053,2432,4505,245,1435,3182,5333,3363,2576,3405,2196,1282,2983
ABI2,764,555,117,47,172,114,28,10,167,285,399,140,2,3,14,89,397,236,434,397,1,191,497,452,106,259,373,285,179,239
ABI3,786,1116,3433,902,1165,312,419,2,1395,2341,1815,2584,32,86,106,73,142,6599,1251,1182,313,2777,1567,747,515,1278,1447,874,887,2029
ABI3BP,4,0,0,3,2,0,0,1,1,0,1,0,1,2,1,3,0,0,0,1,0,3,1,4,3,2,2,3,2,5
ABL1,1291,1510,753,71,74,255,139,167,470,811,1017,478,45,99,130,2,1,1569,1023,804,94,771,1249,761,318,983,1565,965,835,3075
ABL2,914,1155,491,485,409,433,102,77,279,606,447,304,147,64,150,9,27,489,913,469,92,480,679,978,247,614,838,415,261,387
ABLIM1,4928,4106,1003,133,314,1210,146,27,495,2022,1764,477,4,24,82,3,187,2365,3592,1742,1048,928,3132,2515,790,2319,2569,1829,1446,3813
ABLIM2,137,113,53,0,58,23,11,1,28,69,56,78,4,3,1,0,1,53,37,29,0,288,57,25,33,60,62,47,25,33
ABLIM3,207,337,663,162,338,750,26,2,228,180,287,513,6,0,20,0,2,1179,488,761,135,1180,157,645,288,154,923,275,225,614
ABO,223,4,5,0,0,60,0,1,0,75,63,6,0,1,1,0,0,22,24,14,0,1,127,27,15,15,28,49,6,28
ABR,6145,5926,5235,738,889,2079,977,235,3486,6951,3526,4639,175,880,449,87,536,5259,4126,7254,34,5492,5790,7198,2494,6985,8453,4637,4839,5215
ABRA,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,2,0,1,0,1,0,0,2,3,0,2
ABRACL,672,433,335,196,312,117,92,0,293,1279,218,525,0,27,14,55,499,707,669,1646,65,480,702,606,442,300,331,425,377,810
ABT1,636,635,720,5,193,500,160,0,344,862,710,488,6,14,41,0,1,853,690,838,91,338,555,574,621,576,835,438,495,1338
ABT1P1,1,1,1,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,3,2,0,0,2,2,0,1,2,0,2,1
ABTB1,12316,14111,14164,12596,12926,4214,4797,423,14057,16844,5813,29046,400,1201,848,3041,361,9417,5922,22631,1239,23712,13644,28558,22317,27130,36266,17049,17604,15543
ABTB2,143,205,267,77,9,257,40,38,96,417,200,138,36,97,80,428,0,198,143,271,0,182,278,261,1024,526,586,241,89,323
AC000003.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000003.2,0,0,1,2,5,2,0,0,2,0,0,8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,3,1,2,1
AC000029.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000032.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AC000036.4,1,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
AC000041.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000067.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
AC000068.10,4,8,0,0,11,29,0,0,0,11,0,0,0,0,0,0,0,4,2,9,0,0,2,2,3,5,1,6,10,5
AC000068.5,22,23,0,1,1,40,4,0,16,7,8,29,0,0,0,0,0,11,7,8,0,0,24,14,6,17,23,4,2,14
AC000068.9,2,2,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,2,5,0,0,2,3,1,2,7,1,3,1
AC000077.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,1,0,0
AC000078.5,3,3,1,0,0,0,0,0,0,4,0,0,0,1,0,1,0,2,1,4,0,0,0,1,0,10,1,7,0,2
AC000081.2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0
AC000089.3,551,419,211,249,80,163,50,3,123,400,318,396,0,2,0,218,78,389,122,225,36,100,259,224,317,298,456,159,203,747
AC000095.9,66,46,43,0,6,85,5,0,62,121,11,27,0,0,0,0,0,15,28,72,0,0,10,45,27,76,71,42,35,13
AC000099.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
AC000110.1,22,18,1,0,1,3,3,0,4,5,7,3,0,0,0,0,0,1,12,2,0,11,10,25,15,21,20,5,0,22
AC000111.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000111.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000111.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000111.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000120.7,16,14,27,0,0,15,0,0,2,0,1,0,0,0,0,2,0,0,10,0,0,0,5,14,0,24,22,10,0,7
AC000123.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
AC000124.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000362.1,0,1,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AC000367.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
AC000370.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000374.1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,1,1,0
AC000403.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002044.4,21,9,1,15,29,0,1,0,18,10,0,10,0,0,0,4,0,1,0,4,0,27,4,8,40,1,4,26,10,4
AC002055.4,146,138,316,68,25,28,32,0,67,216,96,105,0,29,0,0,0,255,78,88,0,70,130,136,102,79,154,86,59,91
AC002056.3,68,61,34,33,5,4,7,2,14,17,46,21,1,0,0,1,0,49,23,11,0,0,40,37,22,42,49,24,11,91
AC002056.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002059.10,7,6,0,0,7,0,0,0,1,9,2,0,0,0,0,0,0,0,5,14,0,0,4,4,1,2,14,6,17,21
AC002064.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC002064.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
AC002066.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,1,0,0,1
AC002066.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
AC002069.5,16,6,6,0,0,0,1,0,2,5,6,10,0,0,3,2,0,4,1,2,0,0,5,6,1,2,5,4,1,5
AC002069.6,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,3,1,0,0
AC002070.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002075.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,1,6
AC002075.4,135,109,53,115,53,67,12,0,55,20,100,154,1,0,3,39,15,157,110,218,23,70,67,43,44,44,59,118,56,77
AC002076.10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC002115.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002115.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,3,1,0,0
