,T2D_1,T2D_2,T2D_3,T2D_4,T2D_5,HV_1,HV_2,HV_3,HV_4,HV_5
ABCA3,50.0,27.0,50.0,34.0,55.0,60.0,70.0,29.0,39.0,59.0
ABCA3P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA5,65.0,64.0,38.0,61.0,78.0,148.0,45.0,1.0,1.0,16.0
ABCA6,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
ABCA7,1463.0,629.0,1194.0,695.0,1217.0,2762.0,1895.0,971.0,1002.0,1079.0
ABCA8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA9,3.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0
ABCA9-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB1,35.0,43.0,32.0,92.0,43.0,195.0,85.0,0.0,6.0,58.0
ABCB10,81.0,87.0,64.0,125.0,157.0,179.0,87.0,9.0,1.0,35.0
ABCB10P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB10P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB10P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB4,47.0,0.0,18.0,30.0,23.0,31.0,8.0,0.0,0.0,3.0
ABCB5,0.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0
ABCB6,0.0,4.0,1.0,5.0,7.0,3.0,1.0,1.0,0.0,2.0
ABCB7,119.0,75.0,71.0,101.0,119.0,192.0,52.0,4.0,0.0,28.0
ABCB8,84.0,56.0,95.0,67.0,115.0,208.0,167.0,207.0,139.0,138.0
ABCB9,18.0,2.0,6.0,3.0,5.0,29.0,14.0,12.0,0.0,5.0
ABCC1,51.0,76.0,38.0,117.0,62.0,158.0,115.0,16.0,4.0,66.0
ABCC10,134.0,46.0,66.0,61.0,146.0,238.0,177.0,128.0,76.0,134.0
ABCC11,0.0,2.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0
ABCC12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC13,16.0,67.0,50.0,46.0,30.0,42.0,36.0,32.0,24.0,86.0
ABCC2,28.0,13.0,14.0,8.0,18.0,33.0,17.0,0.0,0.0,5.0
ABCC3,198.0,65.0,74.0,213.0,105.0,106.0,237.0,227.0,112.0,207.0
ABCC4,79.0,60.0,88.0,74.0,72.0,94.0,77.0,23.0,34.0,69.0
ABCC5,93.0,33.0,97.0,55.0,113.0,348.0,305.0,58.0,28.0,151.0
ABCC5-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC6,2.0,0.0,2.0,0.0,0.0,4.0,3.0,4.0,0.0,3.0
ABCC6P1,4.0,0.0,3.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0
ABCC6P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD1,120.0,76.0,96.0,104.0,225.0,317.0,493.0,877.0,277.0,276.0
ABCD1P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD1P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD1P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD1P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD2,47.0,22.0,26.0,16.0,54.0,126.0,32.0,0.0,0.0,17.0
ABCD3,55.0,62.0,35.0,61.0,68.0,94.0,36.0,4.0,6.0,20.0
ABCD4,178.0,106.0,114.0,180.0,179.0,304.0,112.0,89.0,63.0,76.0
ABCE1,238.0,188.0,213.0,326.0,366.0,307.0,94.0,2.0,2.0,40.0
ABCF1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCF2,45.0,15.0,35.0,24.0,39.0,75.0,34.0,7.0,4.0,30.0
ABCF2-H2BK1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCF2P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCF2P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCF3,502.0,297.0,227.0,349.0,323.0,419.0,236.0,98.0,96.0,180.0
ABCG1,156.0,70.0,120.0,193.0,278.0,320.0,300.0,324.0,113.0,68.0
ABCG2,3.0,8.0,6.0,1.0,6.0,4.0,0.0,3.0,0.0,12.0
ABCG4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCG5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCG8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ABHD1,6.0,3.0,7.0,3.0,6.0,4.0,1.0,4.0,1.0,3.0
ABHD10,133.0,101.0,35.0,125.0,166.0,154.0,51.0,15.0,3.0,20.0
ABHD11,70.0,53.0,66.0,41.0,53.0,114.0,51.0,47.0,31.0,47.0
ABHD12,393.0,202.0,234.0,284.0,379.0,363.0,242.0,302.0,173.0,163.0
ABHD12B,14.0,6.0,11.0,8.0,11.0,57.0,24.0,0.0,1.0,7.0
ABHD13,680.0,521.0,265.0,501.0,596.0,847.0,265.0,80.0,12.0,104.0
ABHD14A,38.0,5.0,21.0,14.0,31.0,28.0,32.0,31.0,43.0,22.0
ABHD14A-ACY1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD14B,673.0,261.0,302.0,470.0,427.0,577.0,536.0,449.0,438.0,374.0
ABHD15,71.0,27.0,59.0,50.0,57.0,229.0,145.0,82.0,70.0,92.0
ABHD15-AS1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ABHD16A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD16B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17A,2671.0,1392.0,1530.0,1513.0,1900.0,3002.0,3079.0,4737.0,3063.0,2107.0
ABHD17AP1,11.0,4.0,1.0,6.0,9.0,9.0,7.0,17.0,13.0,3.0
ABHD17AP3,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ABHD17AP4,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
ABHD17AP5,6.0,3.0,0.0,0.0,8.0,17.0,8.0,2.0,2.0,2.0
ABHD17AP6,1.0,2.0,4.0,9.0,4.0,14.0,8.0,5.0,11.0,5.0
ABHD17AP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17AP8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17AP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17B,133.0,107.0,62.0,159.0,165.0,298.0,169.0,10.0,4.0,52.0
ABHD17C,15.0,35.0,20.0,9.0,31.0,52.0,57.0,7.0,2.0,12.0
ABHD18,84.0,44.0,35.0,57.0,72.0,166.0,66.0,0.0,4.0,21.0
ABHD2,1327.0,2080.0,354.0,2140.0,769.0,2728.0,2985.0,526.0,141.0,1273.0
ABHD3,269.0,117.0,155.0,119.0,191.0,624.0,179.0,31.0,5.0,76.0
ABHD4,592.0,375.0,193.0,410.0,186.0,422.0,407.0,379.0,202.0,226.0
ABHD5,687.0,471.0,336.0,464.0,257.0,916.0,542.0,113.0,33.0,195.0
ABHD6,22.0,12.0,14.0,11.0,14.0,43.0,9.0,10.0,2.0,12.0
ABHD8,73.0,84.0,54.0,68.0,102.0,114.0,120.0,208.0,100.0,81.0
ABI1,1331.0,1088.0,589.0,1225.0,1242.0,1354.0,494.0,34.0,11.0,150.0
ABI1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI2,133.0,51.0,86.0,89.0,139.0,191.0,74.0,8.0,2.0,45.0
ABI3,192.0,140.0,255.0,208.0,285.0,449.0,387.0,568.0,274.0,344.0
ABI3BP,6.0,0.0,0.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0
ABITRAM,28.0,42.0,57.0,22.0,41.0,127.0,43.0,4.0,0.0,16.0
ABITRAMP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABL1,254.0,177.0,156.0,276.0,310.0,409.0,298.0,79.0,49.0,240.0
ABL2,134.0,102.0,54.0,116.0,119.0,219.0,165.0,5.0,5.0,97.0
ABLIM1,672.0,437.0,358.0,915.0,783.0,1511.0,620.0,21.0,10.0,320.0
ABLIM2,9.0,11.0,12.0,6.0,9.0,14.0,5.0,5.0,10.0,14.0
ABLIM3,107.0,82.0,122.0,121.0,74.0,40.0,118.0,44.0,14.0,103.0
ABO,55.0,0.0,17.0,19.0,65.0,9.0,41.0,6.0,16.0,6.0
ABR,37.0,56.0,18.0,83.0,105.0,35.0,72.0,25.0,3.0,15.0
ABR-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABRACL,249.0,158.0,162.0,132.0,187.0,370.0,130.0,124.0,35.0,78.0
ABRAXAS1,95.0,43.0,53.0,55.0,86.0,149.0,28.0,0.0,1.0,14.0
ABRAXAS1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABRAXAS1P2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ABRAXAS2,196.0,176.0,76.0,213.0,229.0,222.0,65.0,1.0,1.0,32.0
ABT1,762.0,357.0,301.0,554.0,466.0,563.0,305.0,418.0,272.0,237.0
ABT1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABTB1,4444.0,4484.0,5645.0,1872.0,2229.0,8737.0,9874.0,15767.0,8708.0,5418.0
ABTB2,32.0,9.0,18.0,17.0,53.0,59.0,26.0,63.0,13.0,11.0
ABTB3,84.0,99.0,69.0,232.0,121.0,146.0,150.0,19.0,9.0,87.0
ACAA1,662.0,458.0,488.0,349.0,515.0,1020.0,754.0,1139.0,560.0,370.0
ACAA2,118.0,84.0,160.0,115.0,156.0,333.0,93.0,22.0,5.0,65.0
ACAA2P1,1.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
ACACA,2.0,3.0,2.0,2.0,4.0,2.0,4.0,1.0,0.0,1.0
ACACB,102.0,61.0,66.0,90.0,140.0,117.0,72.0,2.0,9.0,40.0
ACAD10,148.0,71.0,62.0,52.0,136.0,210.0,147.0,36.0,11.0,57.0
ACAD11,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
ACAD8,141.0,95.0,62.0,90.0,162.0,289.0,128.0,73.0,30.0,71.0
ACAD9,78.0,45.0,52.0,50.0,72.0,119.0,53.0,37.0,7.0,50.0
ACAD9-DT,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
ACADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACADM,47.0,16.0,85.0,31.0,85.0,177.0,45.0,6.0,1.0,11.0
ACADS,120.0,80.0,72.0,71.0,81.0,139.0,111.0,203.0,137.0,67.0
ACADSB,80.0,62.0,71.0,75.0,105.0,238.0,86.0,0.0,7.0,37.0
ACADVL,1402.0,883.0,898.0,1153.0,1272.0,1842.0,1108.0,1307.0,633.0,769.0
ACAN,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
ACAP1,2023.0,1415.0,1194.0,1127.0,1929.0,2985.0,2034.0,2657.0,1394.0,1131.0
ACAP2,945.0,788.0,408.0,950.0,1174.0,2996.0,1297.0,52.0,21.0,418.0
ACAP2-IT1,2.0,8.0,0.0,4.0,12.0,16.0,19.0,0.0,0.0,1.0
ACAP3,306.0,211.0,229.0,284.0,379.0,445.0,328.0,298.0,249.0,225.0
ACAT1,73.0,28.0,68.0,36.0,66.0,121.0,25.0,4.0,2.0,30.0
ACAT2,151.0,73.0,117.0,195.0,105.0,125.0,31.0,22.0,9.0,33.0
ACBD3,494.0,363.0,217.0,612.0,453.0,480.0,198.0,10.0,7.0,74.0
ACBD3-AS1,0.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
ACBD4,89.0,36.0,49.0,31.0,71.0,115.0,63.0,43.0,44.0,43.0
ACBD5,229.0,211.0,103.0,337.0,304.0,383.0,125.0,4.0,0.0,52.0
ACBD6,281.0,126.0,184.0,186.0,232.0,341.0,140.0,36.0,18.0,77.0
ACBD7,1.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
ACCS,109.0,42.0,57.0,203.0,363.0,89.0,134.0,33.0,7.0,54.0
ACCSL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ACD,138.0,63.0,112.0,63.0,111.0,259.0,194.0,179.0,161.0,151.0
ACE,17.0,7.0,3.0,5.0,16.0,15.0,16.0,5.0,0.0,32.0
ACE2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACE2-DT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACE3P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACER1,10.0,1.0,2.0,2.0,3.0,3.0,0.0,4.0,2.0,4.0
ACER2,7.0,4.0,4.0,7.0,16.0,4.0,4.0,0.0,0.0,4.0
ACER2P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACER3,104.0,125.0,93.0,117.0,153.0,215.0,112.0,22.0,1.0,24.0
ACHE,0.0,18.0,9.0,12.0,0.0,4.0,8.0,11.0,3.0,8.0
ACIN1,1852.0,1041.0,730.0,1554.0,1484.0,2195.0,1109.0,108.0,65.0,539.0
ACKR1,6.0,19.0,39.0,24.0,13.0,9.0,28.0,16.0,47.0,13.0
ACKR2,2.0,3.0,0.0,4.0,1.0,8.0,1.0,0.0,0.0,2.0
ACKR3,4.0,0.0,4.0,7.0,12.0,9.0,6.0,0.0,0.0,3.0
ACKR4,0.0,2.0,0.0,3.0,5.0,1.0,4.0,0.0,0.0,2.0
ACKR4P1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ACLY,524.0,357.0,289.0,434.0,689.0,1262.0,850.0,196.0,45.0,589.0
ACMSD,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0
ACNATP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACO1,28.0,35.0,31.0,26.0,53.0,147.0,62.0,12.0,2.0,17.0
ACO2,321.0,170.0,202.0,327.0,317.0,494.0,353.0,326.0,168.0,261.0
ACOD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOT1,14.0,3.0,7.0,7.0,14.0,9.0,10.0,11.0,7.0,6.0
ACOT11,4.0,1.0,3.0,3.0,5.0,3.0,5.0,4.0,0.0,6.0
ACOT12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOT13,41.0,17.0,26.0,38.0,19.0,125.0,46.0,5.0,3.0,18.0
ACOT2,141.0,59.0,87.0,95.0,144.0,104.0,85.0,66.0,54.0,51.0
ACOT4,10.0,0.0,5.0,1.0,15.0,25.0,9.0,4.0,4.0,11.0
ACOT6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOT7,99.0,31.0,58.0,39.0,56.0,93.0,73.0,116.0,59.0,56.0
ACOT8,145.0,85.0,90.0,64.0,139.0,206.0,184.0,308.0,157.0,102.0
ACOT9,304.0,273.0,192.0,465.0,447.0,675.0,264.0,104.0,27.0,128.0
ACOX1,250.0,347.0,200.0,223.0,326.0,1299.0,659.0,76.0,33.0,131.0
ACOX2,1.0,4.0,4.0,4.0,3.0,9.0,0.0,7.0,1.0,0.0
ACOX3,26.0,18.0,32.0,15.0,48.0,93.0,85.0,57.0,22.0,37.0
ACOXL,5.0,3.0,2.0,5.0,3.0,11.0,4.0,1.0,0.0,0.0
ACOXL-AS1,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
ACP1,658.0,573.0,514.0,771.0,748.0,769.0,248.0,127.0,80.0,209.0
ACP2,26.0,12.0,29.0,13.0,35.0,95.0,99.0,107.0,35.0,38.0
ACP3,123.0,63.0,65.0,60.0,123.0,175.0,182.0,19.0,8.0,102.0
ACP4,7.0,1.0,0.0,2.0,3.0,2.0,3.0,0.0,0.0,1.0
ACP5,307.0,93.0,243.0,155.0,219.0,265.0,355.0,311.0,277.0,165.0
ACP6,47.0,44.0,29.0,39.0,49.0,98.0,57.0,47.0,17.0,38.0
ACP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACRBP,671.0,208.0,425.0,302.0,278.0,182.0,365.0,727.0,603.0,366.0
ACRP1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACRV1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ACSBG1,14.0,5.0,11.0,6.0,2.0,2.0,9.0,2.0,1.0,10.0
ACSBG2,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ACSF2,120.0,30.0,60.0,70.0,93.0,134.0,96.0,44.0,51.0,49.0
ACSF3,207.0,99.0,111.0,173.0,208.0,351.0,284.0,181.0,141.0,154.0
ACSL1,7981.0,10753.0,1859.0,6037.0,3196.0,11929.0,6858.0,978.0,175.0,1828.0
ACSL3,280.0,123.0,177.0,155.0,322.0,218.0,81.0,15.0,0.0,34.0
ACSL3-AS1,2.0,3.0,1.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0
ACSL3P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSL4,410.0,463.0,172.0,630.0,394.0,1414.0,683.0,80.0,14.0,98.0
ACSL5,141.0,93.0,145.0,73.0,181.0,414.0,208.0,43.0,5.0,137.0
ACSL6,38.0,38.0,27.0,28.0,31.0,62.0,22.0,0.0,0.0,10.0
ACSL6-AS1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
ACSM1,6.0,8.0,1.0,4.0,4.0,0.0,1.0,3.0,0.0,1.0
ACSM2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSM2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSM3,30.0,30.0,23.0,11.0,25.0,40.0,13.0,3.0,0.0,6.0
ACSM4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSM5,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
ACSM5P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSM6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSS1,252.0,150.0,251.0,197.0,390.0,805.0,508.0,563.0,335.0,360.0
ACSS2,224.0,104.0,108.0,74.0,165.0,412.0,376.0,402.0,153.0,217.0
ACSS3,11.0,13.0,19.0,3.0,9.0,35.0,19.0,2.0,4.0,6.0
ACTA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTA2,12.0,9.0,7.0,12.0,9.0,21.0,8.0,23.0,6.0,10.0
ACTA2-AS1,0.0,1.0,5.0,1.0,1.0,3.0,4.0,0.0,0.0,5.0
ACTB,47988.0,28672.0,36986.0,28956.0,40604.0,106644.0,90217.0,73694.0,29245.0,46692.0
ACTBL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTBP11,9.0,1.0,1.0,2.0,3.0,17.0,15.0,5.0,4.0,7.0
ACTBP12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTBP14,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
ACTBP15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ACTBP16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTBP2,8.0,5.0,7.0,7.0,7.0,21.0,18.0,26.0,2.0,5.0
ACTBP4,0.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0
