Gene,HC1,HC2,HC3,HC4,HC5,T2DM1,T2DM2,T2DM3,T2DM4,T2DM5
ABCA3,3.1,4.22,5.57,6.31,5.93,4.13,3.86,3.29,5.59,4.78
ABCA4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
ABCA5,0.34,0.43,0.57,0.37,0.43,0.96,1.28,0.92,0.53,0.69
ABCA6,0.0,0.13,0.03,0.14,0.04,0.02,1.37,0.13,0.04,0.03
ABCA7,75.03,49.57,34.49,35.88,38.33,112.97,84.13,131.25,61.36,75.66
ABCA8,0.0,0.07,0.02,0.03,0.0,0.04,0.05,0.04,0.02,0.06
ABCA9,0.06,0.09,0.04,0.11,0.03,0.02,0.02,0.11,0.02,0.04
ABCB1,0.66,1.91,1.65,0.37,1.21,0.54,2.39,1.51,0.86,3.51
ABCB10,0.62,1.01,1.04,1.53,0.97,0.65,0.96,0.79,0.77,1.72
ABCB11,0.0,0.0,0.0,0.01,0.0,0.02,0.08,0.03,0.0,0.02
ABCB4,0.21,0.53,0.81,0.1,0.52,0.67,0.57,0.55,0.42,0.81
ABCB5,0.14,0.04,0.02,0.04,0.06,0.11,0.1,0.13,0.14,0.09
ABCB6,2.91,1.71,3.96,3.5,1.35,2.42,1.77,2.11,1.99,1.58
ABCB7,2.34,6.7,7.56,2.88,7.61,4.83,4.65,6.54,4.13,5.39
ABCB8,5.28,7.35,12.44,10.56,13.6,8.89,13.06,9.25,9.56,9.95
ABCB9,0.53,0.45,1.07,3.68,1.19,0.99,0.83,0.97,0.8,0.9
ABCC1,14.68,22.08,22.04,20.54,26.23,19.83,13.39,13.36,19.42,22.0
ABCC10,22.54,21.83,19.81,15.33,25.39,38.55,25.58,27.11,23.45,32.92
ABCC11,0.01,0.15,0.04,0.03,0.1,0.06,0.0,0.01,0.07,0.01
ABCC13,0.03,0.0,0.0,0.17,0.0,0.0,0.69,0.93,0.01,0.01
ABCC2,0.18,0.34,0.08,0.24,0.08,0.7,0.21,0.74,0.24,0.45
ABCC3,35.56,21.43,56.67,135.12,32.58,42.86,18.39,33.46,45.61,32.69
ABCC4,9.88,4.84,9.93,18.58,5.36,4.39,7.89,7.34,4.35,2.86
ABCC5,8.76,5.32,8.11,10.45,7.22,11.26,5.49,10.95,8.45,7.94
ABCC6,3.01,3.55,2.42,3.15,8.14,5.48,2.19,2.88,2.35,3.32
ABCC6P1,0.48,1.52,0.84,0.83,2.34,0.23,1.01,0.19,0.43,0.0
ABCC8,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.01
ABCC9,0.31,0.57,0.43,0.32,0.17,0.67,0.29,0.69,0.43,0.38
ABCD1,14.93,15.91,14.61,17.45,20.07,16.49,15.1,12.04,16.38,16.12
ABCD2,0.05,0.14,0.19,0.14,0.15,0.15,0.38,0.53,0.17,0.35
ABCD3,0.36,1.06,0.78,1.7,0.36,0.34,1.06,1.4,0.91,1.0
ABCD4,9.17,16.57,16.05,11.32,20.43,15.55,16.25,14.0,16.87,18.25
ABCE1,1.05,2.1,3.59,3.73,1.46,1.16,4.36,5.04,2.57,2.56
ABCF1,9.44,14.94,21.47,9.69,17.59,13.85,12.08,12.73,13.47,18.83
ABCF2,8.04,11.25,16.3,7.46,14.27,10.22,10.14,6.81,8.01,10.69
ABCF3,23.52,34.31,35.93,24.13,49.31,36.06,35.11,33.96,31.82,40.3
ABCG1,15.67,12.85,5.42,3.06,5.24,9.0,5.78,17.19,13.8,18.25
ABCG2,0.0,0.03,0.11,0.01,0.0,0.1,0.26,0.14,0.06,0.12
ABCG4,0.0,0.05,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.01
ABCG5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCG8,0.01,0.01,0.02,0.04,0.06,0.04,0.06,0.09,0.03,0.05
ABHD1,2.03,1.56,0.71,0.66,1.06,2.85,1.68,2.29,2.31,2.62
ABHD10,1.74,3.23,2.78,3.59,2.63,3.23,5.65,4.82,3.08,3.25
ABHD11,4.62,9.72,10.13,9.09,11.55,11.18,10.05,12.99,6.9,10.65
ABHD12,5.71,9.08,10.0,13.25,15.13,9.18,8.96,8.37,9.6,8.02
ABHD12B,3.17,1.28,0.5,0.96,1.16,1.57,0.9,1.3,0.46,2.13
ABHD13,1.79,2.13,1.36,1.4,0.92,1.66,2.5,2.8,2.27,2.06
ABHD14A,2.93,6.64,14.1,9.21,16.57,12.83,11.71,10.81,8.77,10.59
ABHD14A-ACY1,0.0,0.07,0.35,0.0,0.64,0.92,0.92,0.17,0.63,0.27
ABHD14B,14.28,28.63,48.84,35.5,50.58,34.64,29.21,25.56,27.3,30.34
ABHD15,2.77,5.52,5.87,4.26,6.83,4.95,5.16,3.64,5.96,6.57
ABHD16A,33.41,27.59,15.01,30.36,24.34,25.9,21.39,25.18,29.62,37.26
ABHD17A,39.42,53.31,65.67,58.42,74.89,64.72,78.79,50.49,67.8,61.0
ABHD17AP1,0.04,0.12,0.04,0.12,0.16,0.09,0.0,0.16,0.55,0.18
ABHD17B,2.39,3.35,3.78,2.58,2.84,2.45,2.28,2.94,2.81,3.46
ABHD18,2.15,4.77,3.24,4.25,2.24,2.86,3.48,5.01,4.86,3.64
ABHD2,78.63,76.03,55.28,49.79,45.39,84.66,44.36,73.43,68.49,113.1
ABHD3,28.48,21.87,9.2,10.72,9.06,31.47,19.61,37.4,28.16,26.86
ABHD4,31.01,20.22,20.13,26.46,18.86,22.14,19.39,24.68,31.48,20.67
ABHD5,42.5,34.71,6.83,11.72,7.2,26.51,14.08,28.76,27.37,47.09
ABHD6,2.74,2.9,4.14,1.75,5.74,4.95,4.78,3.58,3.23,3.35
ABHD8,4.52,4.43,5.67,5.89,8.84,6.09,5.88,3.08,5.3,3.46
ABI1,32.63,34.99,24.6,36.42,23.82,22.57,28.85,35.92,27.63,33.51
ABI2,7.9,7.1,12.69,18.13,8.0,5.99,10.68,9.76,11.0,9.4
ABI3,23.08,45.34,57.29,29.51,69.37,85.05,79.55,52.34,56.3,57.71
ABI3BP,0.01,0.0,0.01,0.02,0.0,0.0,0.0,0.13,0.04,0.0
ABL1,7.64,12.05,15.74,10.59,16.15,10.76,8.94,6.95,9.38,9.45
ABL2,2.47,2.6,1.79,0.69,1.75,2.42,2.77,1.96,1.38,2.87
ABLIM1,17.83,29.14,74.42,32.69,60.97,40.15,37.28,37.91,37.58,38.4
ABLIM2,0.42,0.45,1.17,0.26,1.01,0.88,0.56,0.7,0.47,0.93
ABLIM3,21.81,9.41,22.81,56.84,12.53,17.17,11.14,16.18,18.21,9.62
ABO,1.86,2.0,3.98,13.11,2.77,2.94,2.64,2.56,0.8,1.57
ABR,61.59,59.97,56.96,40.57,78.11,80.47,61.03,59.01,72.82,73.63
ABRA,0.04,0.11,0.1,0.0,0.0,0.01,0.09,0.01,0.01,0.02
ABRACL,7.08,12.71,17.91,13.04,10.76,10.41,13.37,13.91,9.1,10.53
ABT1,5.07,7.31,10.64,9.31,10.38,9.25,8.73,8.48,10.83,10.04
ABTB1,213.56,152.81,37.01,58.51,45.92,217.47,103.41,160.98,169.89,182.05
ABTB2,1.08,0.77,0.68,1.15,0.92,2.52,1.41,1.08,1.82,1.2
AC000032.2,0.24,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.18,0.0
AC000059.1,0.12,0.2,0.07,0.19,0.07,0.14,0.07,0.45,0.13,0.0
AC000068.10,0.2,0.68,0.34,0.75,0.0,0.0,0.0,0.42,0.32,0.24
AC000068.5,0.3,0.47,0.22,0.34,0.15,0.29,0.23,0.34,0.25,0.37
AC000068.9,0.0,0.0,0.06,0.0,0.0,0.0,0.07,0.0,0.48,0.0
AC000078.5,1.01,2.59,0.79,0.23,1.55,1.71,1.01,4.46,1.5,3.48
AC000081.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000089.3,0.04,0.1,0.19,0.14,0.1,0.05,0.05,0.05,0.0,0.16
AC000094.3,0.07,0.05,0.0,0.0,0.05,0.0,0.0,0.03,0.03,0.03
AC000095.10,0.73,0.46,0.32,0.05,0.14,0.68,0.72,0.19,0.24,0.26
AC000095.11,0.26,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.11
AC000095.12,0.09,0.0,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.0
AC000095.13,0.98,0.57,0.32,0.2,0.29,0.82,0.42,0.44,0.69,0.23
AC000095.6,0.02,0.03,0.03,0.01,0.01,0.02,0.02,0.0,0.02,0.02
AC000095.8,0.98,0.41,0.21,0.12,0.37,1.32,1.25,0.45,1.03,0.49
AC000095.9,0.0,0.0,0.0,0.07,0.0,0.13,0.0,0.11,0.2,0.19
AC000120.7,0.0,0.15,0.15,0.04,0.04,0.04,0.07,0.0,0.06,0.14
AC000123.2,0.09,0.17,0.34,0.13,0.26,0.2,0.2,0.34,0.21,0.43
AC000123.3,0.0,0.34,0.34,0.32,0.34,0.12,0.9,0.42,0.11,0.12
AC000123.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000367.1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0
AC000403.4,0.46,0.26,0.36,0.19,0.31,0.17,0.06,0.07,0.15,0.18
AC001226.1,0.03,0.0,0.03,0.0,0.06,0.01,0.0,0.0,0.02,0.01
AC001226.2,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.1,0.0,0.06
AC001226.7,0.0,0.17,0.0,0.16,0.0,0.27,0.0,0.0,0.25,0.37
AC002044.1,0.07,0.15,0.15,0.0,0.26,0.08,0.0,0.11,0.0,0.08
AC002044.3,0.0,0.09,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0
AC002055.4,3.97,13.64,14.97,12.88,7.78,11.09,11.52,19.13,7.68,20.63
AC002056.3,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0
AC002059.10,0.0,0.11,0.11,0.2,0.32,0.44,0.21,0.3,0.1,0.11
AC002064.7,0.18,1.21,0.4,0.0,0.6,0.42,1.14,0.71,0.36,0.21
AC002066.1,0.0,0.0,0.0,0.01,0.0,0.0,0.19,0.0,0.0,0.0
AC002069.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002075.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0
AC002076.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002115.7,0.04,0.05,0.2,0.14,0.24,0.29,0.36,0.27,0.0,0.05
AC002115.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002116.7,0.0,0.26,0.26,0.31,0.59,0.62,0.34,0.45,0.57,0.5
AC002116.8,0.0,0.0,0.57,0.15,0.46,0.07,0.0,0.58,0.0,0.22
AC002117.1,0.41,0.13,0.24,0.33,0.16,0.0,0.13,0.4,1.54,0.45
AC002127.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002128.4,0.2,0.56,0.06,0.22,0.34,0.0,0.18,0.39,0.98,0.62
AC002128.5,0.0,0.28,1.05,0.07,0.14,0.51,0.43,0.2,0.2,0.38
AC002303.5,0.08,0.1,0.17,0.07,0.24,0.28,0.55,0.3,0.27,0.2
AC002306.1,0.03,0.12,0.24,0.08,0.7,0.04,0.04,0.04,0.11,0.26
AC002310.10,0.0,0.17,0.06,0.0,0.11,0.47,0.0,0.16,0.11,0.12
AC002310.11,0.95,0.0,0.0,0.07,0.0,0.0,0.0,0.61,0.0,0.0
AC002310.12,1.01,1.34,1.53,0.44,1.77,1.05,1.33,1.43,1.93,1.39
AC002310.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002310.14,0.7,0.29,0.37,0.56,1.14,1.13,0.73,0.46,0.91,1.21
AC002310.17,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.86
AC002310.7,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.39
AC002331.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002365.4,0.2,0.23,0.0,0.07,0.23,0.49,0.24,0.07,0.07,0.59
AC002366.3,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0
AC002368.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002368.3,0.11,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002398.11,0.18,0.02,0.06,0.07,0.15,0.55,0.2,0.21,0.22,0.3
AC002398.12,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.02,0.0
AC002398.13,0.34,0.1,0.72,0.68,1.29,0.38,1.38,1.1,1.75,2.15
AC002398.5,0.01,0.06,0.03,0.03,0.1,0.0,0.02,0.04,0.07,0.19
AC002398.9,13.16,11.07,7.76,8.37,10.91,7.54,11.34,14.53,11.86,9.07
AC002400.1,0.39,1.21,1.27,1.53,1.09,1.45,0.81,0.48,0.8,1.08
AC002400.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002401.1,0.1,0.11,0.11,0.21,0.54,0.23,0.0,0.1,0.0,0.0
AC002407.3,0.0,0.01,0.04,0.02,0.03,0.03,0.04,0.02,0.05,0.02
AC002429.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
AC002451.3,0.45,0.0,0.81,0.91,1.15,0.83,0.49,0.0,0.48,0.55
AC002454.1,0.13,0.0,0.14,0.68,0.0,0.0,0.14,0.35,0.13,0.0
AC002456.2,0.73,0.35,0.0,0.0,0.12,1.85,0.82,0.88,0.33,0.38
AC002458.1,0.12,0.13,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0
AC002463.3,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
AC002467.7,5.05,3.57,1.21,2.25,3.05,3.0,2.44,3.59,2.3,4.44
AC002472.14,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
AC002472.15,0.17,0.1,0.1,0.27,0.32,0.54,0.31,0.49,0.26,0.53
AC002472.16,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0
AC002472.8,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002480.2,0.01,0.05,0.04,0.01,0.02,0.05,0.01,0.01,0.0,0.04
AC002480.3,0.05,0.04,0.03,0.0,0.06,0.06,0.06,0.08,0.01,0.0
AC002480.4,0.07,0.0,0.16,0.0,0.0,0.09,0.0,0.0,0.0,0.09
AC002480.5,0.19,0.15,0.17,0.08,0.49,0.46,0.44,0.23,0.18,0.18
AC002480.6,0.6,0.94,1.65,0.88,0.84,1.13,1.58,1.7,2.09,1.58
AC002486.3,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0
AC002511.1,0.46,0.13,0.02,0.04,0.03,0.44,0.37,0.04,0.33,0.26
AC002511.2,2.28,1.65,0.0,0.34,0.35,2.58,1.41,2.09,2.64,1.76
AC002511.3,2.4,1.87,0.18,0.62,0.0,2.08,1.23,2.04,2.24,2.26
AC002519.8,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0
AC002531.2,0.0,0.04,0.0,0.0,0.13,0.14,0.0,0.0,0.0,0.02
AC002543.2,0.45,0.96,0.34,0.22,0.08,0.33,0.4,0.3,0.32,0.72
AC002550.5,0.09,0.22,0.0,0.0,0.0,0.14,0.15,0.0,0.35,0.0
AC002550.6,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002551.1,0.2,0.15,0.3,0.21,0.22,0.47,0.08,0.0,0.28,0.48
AC002553.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22
AC002984.2,0.42,0.24,0.36,0.0,0.24,0.0,0.35,0.11,0.33,0.0
AC002985.3,0.0,0.0,0.0,0.0,0.11,0.12,0.0,0.17,0.0,0.0
AC002992.3,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0
AC003002.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003002.6,0.0,0.0,0.0,0.0,0.17,0.08,0.08,0.0,0.0,0.1
AC003005.2,0.25,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
AC003005.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003006.7,0.49,1.67,1.94,0.23,1.21,2.43,0.87,4.52,3.87,1.38
AC003029.1,7.63,14.97,16.15,11.29,16.55,10.47,15.07,17.74,13.92,13.64
AC003029.4,0.01,0.26,0.24,0.05,0.08,0.12,0.14,0.19,0.14,0.17
AC003051.1,0.0,0.3,0.01,0.0,0.0,0.0,0.28,0.0,0.0,0.0
AC003075.4,1.63,1.16,2.07,1.39,1.16,0.29,0.79,0.43,1.39,0.48
AC003077.1,0.04,0.09,0.01,0.02,0.0,0.09,0.16,0.16,0.13,0.08
AC003080.4,0.14,0.36,0.05,0.24,0.25,1.4,0.43,0.9,0.39,0.67
AC003090.1,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02
AC003092.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003101.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0
AC003102.3,0.05,0.1,0.02,0.0,0.05,0.14,0.14,0.1,0.12,0.17
AC003104.1,0.79,1.19,0.62,0.19,0.37,1.12,0.91,0.91,0.32,1.42
AC003665.1,0.84,1.72,2.15,1.55,2.0,1.87,1.03,1.67,3.13,2.95
AC003956.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003973.3,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.02
AC003973.6,0.03,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.07
AC003986.5,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
AC003989.3,0.0,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003989.4,0.0,0.24,0.08,0.0,0.24,0.08,0.16,0.23,0.0,0.0
AC003991.3,2.09,2.47,1.64,1.35,2.2,5.48,3.06,4.66,2.99,4.85
AC004016.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004019.13,0.09,0.0,0.02,0.0,0.03,0.32,0.11,0.04,0.08,0.06
AC004022.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004041.2,0.0,0.25,0.0,0.0,0.12,0.26,0.0,0.0,0.0,0.32
AC004049.2,2.15,1.66,0.23,0.36,0.2,10.48,3.33,4.83,1.77,3.72
AC004049.3,0.11,0.15,0.02,0.02,0.0,0.69,0.06,0.1,0.02,0.21
AC004051.1,0.0,0.0,0.0,0.03,0.06,0.0,0.0,0.03,0.09,0.0
AC004051.2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
AC004053.1,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004057.1,160.17,272.83,508.51,381.61,2117.85,1361.13,182.64,1897.07,1037.57,1111.54
AC004066.1,0.46,0.1,0.02,0.0,0.02,0.03,0.1,0.19,0.0,0.13
AC004067.4,0.29,0.0,0.34,0.0,0.67,0.0,0.0,0.0,0.0,0.0
AC004067.5,0.21,0.12,0.76,0.17,0.4,0.12,0.12,0.45,0.28,0.32
AC004067.6,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004069.1,0.08,0.0,0.0,0.0,0.0,0.07,0.17,0.0,0.0,0.03
AC004069.2,1.41,2.69,0.27,1.11,0.09,1.2,0.46,0.87,1.62,1.81
AC004069.3,0.38,0.26,0.0,0.0,0.0,0.18,0.18,0.08,0.41,0.37
AC004073.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004076.5,0.0,0.02,0.12,0.01,0.05,0.01,0.03,0.05,0.01,0.07
AC004076.7,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0
AC004076.9,2.56,4.63,6.25,1.66,6.04,1.43,1.91,3.31,2.49,3.03
AC004125.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004156.3,0.2,0.11,0.21,0.15,0.11,0.23,0.15,0.11,0.18,0.28
AC004158.2,0.33,0.31,0.41,0.54,0.5,0.58,0.56,0.23,0.31,0.35
AC004158.3,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.01,0.0,0.0
AC004159.1,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004166.5,0.74,0.58,1.27,0.36,2.95,0.53,0.63,0.57,0.48,0.76
AC004166.6,0.0,0.0,0.0,0.05,0.0,0.0,0.06,0.1,0.0,0.07
AC004166.7,5.72,7.1,8.77,7.85,8.29,8.56,8.03,10.31,7.31,9.92
AC004221.2,0.08,0.09,0.0,0.0,0.0,0.0,0.05,0.04,0.0,0.05
AC004231.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
AC004237.1,0.34,0.07,0.16,0.59,0.0,0.45,0.46,0.46,0.49,0.56
AC004257.1,0.31,0.0,1.07,0.0,0.0,0.0,0.62,0.0,0.0,0.0
AC004381.6,1.52,0.6,0.65,1.91,0.79,1.94,1.4,0.75,1.04,0.99
AC004381.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004381.8,0.11,0.1,0.03,0.0,0.03,0.0,0.0,0.0,0.02,0.03
AC004381.9,0.09,0.03,0.03,0.03,0.03,0.06,0.09,0.05,0.0,0.15
AC004383.3,0.0,0.0,0.95,0.3,0.0,0.0,0.0,0.0,0.0,0.0
AC004383.4,0.17,0.19,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.24
