SYMBOL,K_O,K12,K21,K22,K24,K25,K4,K7,T2D_D,T2D102,T2D106,T2D11,T2D3,T2D61,T2D66,T2D78
A3GALT2,1.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
A4GALT,13.89502,5.79776,15.08272,6.57706,4.23523,3.17001,4.17691,4.23375,6.86339,0.0,0.71172,0.0,19.15476,2.0,8.03024,12.32161
A4GNT,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAAS,63.0000547,24.9999744,45.00002,24.99999173,33.00000952,51.00005,22.0000302,32.999974594899996,66.99998,26.99999,28.0,0.0,32.9999826,7.0,66.99998000000001,29.00000204
AACS,88.8454,87.86446000000001,134.47573,83.00912000000001,98.15241,111.0275,51.166942,79.79904892499,69.09391,51.1862,71.12046000000001,6.7443,42.108462,8.008890000000001,153.36201,141.74197999999998
AACSP1,15.1784,9.25935,2.02639,4.36409,2.0,2.23388,6.33946,8.50736,13.0174,1.0,6.71988,8.0,0.0,0.0,9.16177,7.63184
AADAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL2,0.0,0.0,0.0,1.82334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL2-AS1,0.0,2.946,1.18988,2.05412,1.34816,4.862,1.07098,3.08504,1.10496,0.0,2.26149,0.0,1.06279,0.0,1.33572,2.47096
AADACL3,3.0,4.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,2.0,0.0,3.0,1.0
AADACL4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
AADACP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0
AADAT,0.0,4.19225285,4.0,0.0,4.0149472,2.0,1.0,0.0,0.0,4.011821253,1.00745276,0.0,1.0,0.0,3.102032264,1.06840173
AAGAB,254.99949999999998,164.99996,329.00016999999997,225.99997,199.9999,336.9998,117.00005,299.00014,243.00038700000002,110.99999,138.0,8.0,141.99994,18.999979,372.99981,348.9999
AAK1,1393.48398,831.71957,2343.17131,812.53174,849.6505099999999,1227.7926400000001,620.79801,774.65355,1330.58413,877.1373,879.27206,100.82571,638.7445299999999,122.959761,1491.1590202,1373.24612
AAMDC,44.525800000000004,39.379847,53.86132,42.90557,29.08595,27.05178,24.99484,30.0721,30.791069999999998,13.07001,22.72169896,0.0,7.608790000000001,1.83179,49.93422231905,44.91378
AAMP,195.00004,107.00003000000001,206.9996808,278.00012020164297,169.99997000000002,285.00035,138.99975,219.00025,177.0,64.99995,163.9998,5.0,135.99993,20.0,322.99982,306.00009
AANAT,2.0,3.0,14.0,8.0,7.0,8.0,0.0,2.08659,0.0,0.0,9.0,0.0,1.0,0.0,4.008153,2.027594
AAR2,97.40489,70.36496,164.44954,159.415690123733,113.99996999999999,107.84139602039001,91.11738,71.22600797999999,74.22588999999999,39.999939999999995,84.53129,7.0,62.003788560000004,11.01166,162.26476,165.5085482
AARD,14.3361,9.81748,21.44734,5.45686,5.51198,4.60839,1.1273,7.04625,1.06024,8.1846,5.39701,0.0,5.84408,0.0,7.24647,8.24287
AARS1,354.2847410058,312.21648966593,384.1506800217443,385.76086611441,326.829133262591,388.71709317057986,175.523722278738,382.06587848,357.4055419392452,163.983780153673,236.4125581357029,17.898597848,250.36610560703,37.999999177485996,491.916891553857,467.87249134256797
AARS1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AARS2,124.598,54.3897,130.423,114.40561,113.02,184.01763,63.1066,159.265,97.8176,59.4506,89.19986999999999,8.47393,64.7552,20.0,237.54461999999998,201.7535
AARSD1,77.16239,49.41628,52.821909,93.26953999999999,39.507815,86.60304500000001,27.15876,66.23436,33.25622,18.33906,47.573576,1.0,42.936217,11.0,103.09854,106.81626
AARSD1P1,2.01264,0.0,1.26402,1.0,3.0,2.58537,0.0,2.0,2.38345,2.0,0.0,0.0,0.0,0.0,10.2089,2.46687
AASDH,159.0,84.00003000000001,128.9999692,155.00008,167.0000428052,217.99986,75.000028,206.99991,118.00002303202399,44.00005,92.00007,4.999997202238,116.00009039999999,22.000030000000002,289.000610343419,221.999980375714
AASDHPPT,192.0,73.00003,233.2243,174.84359999999998,173.0,239.8757,110.000009,145.0,134.00003,89.0,97.0,3.0,149.0001,15.000003000000001,345.9495,310.00027
AASS,134.84737,56.5087866485,114.36413,41.9479739,40.57569,110.241397779,37.11983,65.13198969764011,66.08209054699999,28.728238216700003,86.392812056,20.00004,43.329049999999995,17.50520893,122.4189528847359,152.0437107760113
AATBC,137.0,100.99998,80.0,104.0001,99.99999,170.0001,103.0,220.99991,127.0,31.99997,144.99978,0.0,51.0,18.00004,115.00001999999999,133.0002
AATF,553.0119500000001,304.00235,666.6623859,434.028060928,378.99964,459.45083287685003,255.41999,532.229923484642,402.32198900000003,180.649586,258.6277400690925,28.000058,258.99971,59.702748,656.4579,658.0650161
AATK,86.201049,48.57368,82.42152,74.857316,108.005527,67.889098472799,30.1044089105,55.701764,37.52432,16.117819,65.346033,0.0,40.137541,4.00127,323.39477800845,334.18308
ABALON,5.20553,15.7474,0.0,0.0,22.1825,6.35988,0.0,10.966,19.5724,10.6627,40.626,0.0,22.7864,0.0,80.6998,23.4409
ABAT,178.27308,101.132002,155.80764,136.22562,110.278362,151.87259,65.80792000000001,117.27107,114.19585000000001,49.70173,73.75113,9.9999970191639,50.63940592,17.0,167.68412,159.85332
ABCA1,212.00004,124.99975,98.9999406846,227.99991,116.99999,199.00006,89.0000116905,192.99970000000002,172.99992,77.99997,164.000250107211,10.0,173.0002,23.000010000000003,609.9994,453.0001
ABCA10,18.999997,14.00543,37.0157816,15.00778,16.000040000000002,24.0000244,28.018211,16.00004,22.2929,13.0,27.999989999999997,0.0,10.124594,2.0,31.274549999999998,22.0000401
ABCA11P,18.4303,5.21495,8.93986,13.705580000000001,19.713340000000002,45.07852,11.05256,16.65398,30.968559999999997,0.0,10.3982569287,0.0,10.47118,0.0,15.58539,25.116300000000003
ABCA12,2.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0000015
ABCA13,6.03561,22.2379000421903,14.142009999999999,17.020416,27.26343,50.40334,10.2571,11.42371,19.48155,6.24479,5.05053,1.0,6.19867,6.000004000000001,12.13733,21.37885
ABCA15P,0.0,0.0,0.0,0.0,0.0,1.31383,2.85454,3.0,5.1963,5.58126,3.0,0.0,0.0,0.0,4.06412,4.4906
ABCA17P,0.0,0.0,0.0,3.00298,3.85798,3.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,6.1597800000000005
ABCA2,214.00002,204.8189663918749,444.00017109009997,171.0514706,220.49504169756,245.31540447499998,257.1260359089,189.70415422992,314.9998951,103.999949,314.000188,12.99998613678,170.00012354999998,27.999975655598,387.00034999999997,309.9998713685
ABCA3,28.00001,26.00002,110.999960289795,26.99998,51.000000310891,36.9999793,25.000007,26.00001,30.00916,16.0,33.00005,0.0,26.0,1.0,27.99996,40.00826
ABCA3P1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
ABCA5,321.30725,159.31261,384.0001,267.17123,152.00001,428.86087,222.549684,298.99956435,295.143103,141.99999,265.36199,28.999948,166.69601,45.9999716,581.08811,412.66443000000004
ABCA6,37.3675,38.968199999999996,56.673061,37.555725100000004,15.134929999999999,43.197214,16.00004,26.47425,42.386269999999996,23.1099,17.31466,0.0,11.241575,0.0,39.892610000000005,43.876846
ABCA7,296.32183,276.99982,349.9998749402,412.12799000000007,258.00025,584.9994800000001,275.99976,437.15636,324.00036,174.00024,367.9999100143587,29.9999976,170.000285,57.00004,1028.06475,876.9999799999999
ABCA8,8.0,2.40333,6.31756,4.92557,0.0,2.00488,1.39027,1.0,2.03742,0.0,5.03597,0.0,2.33439,1.0,5.18947,5.21721
ABCA9,37.05709,26.52664,33.107929999999996,14.21988,5.2546,34.98639,12.634640000000001,12.956969999999998,20.09711,19.07008,13.30541,6.25495,8.23283,3.25123,22.93298,35.742239999999995
ABCA9-AS1,0.0,2.06229,0.0,2.09382,0.0,1.04449,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.73464,1.0
ABCB1,212.3569,113.81375822999999,248.65673296999998,185.6662,166.000143,217.537,84.869906,235.49142,159.00000109656,22.999946281979,81.78891,17.0,170.99995,22.999994899999997,353.99982,182.28991
ABCB10,668.9918,431.0003,555.2424900000001,798.9998,1084.0013999999999,875.362,377.56285,652.9995,714.9999,423.99995,335.99978,46.0,632.80029,34.0,909.9961000000001,631.00009
ABCB10P1,1.0028,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ABCB10P3,2.00558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00372,0.0
ABCB10P4,5.17988e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000377174,0.0
ABCB11,2.00679,3.6652500000000003,6.8995,3.17797,7.25825,0.0,1.00147,4.00976,4.01708,2.14849,3.77578,2.84589,0.0,1.999542,4.03372,2.700581
ABCB4,82.642900138985,34.18629,45.34285,65.33425,40.00003,61.46350847,13.130115,22.50806,47.00006121949,11.0,24.211097,0.0,12.0,2.0,42.999963,106.71003999999999
ABCB5,58.19785,16.136879999999998,25.0,19.02848,18.0002,21.0,14.2818,21.00766,21.001450000000002,17.34344,6.41162,0.0,18.99997,3.9999957999999998,20.32964,17.730220000000003
ABCB6,42.643119999999996,23.5052,48.000001000000005,56.00001,74.99999,38.33979,28.03003,55.31957,65.999944,27.000018999999998,25.741539,2.0,31.257479999999997,4.908234,63.7233,39.74452320361
ABCB7,300.85187,170.00683063396102,258.8426436626,327.405708,217.20697,300.62932076994247,123.48580528136101,256.9578400242672,228.04373037,85.970145058281,134.13312626526,10.0,182.6110293,21.164232,342.1171355,393.53069892659
ABCB8,74.0059,61.12656,74.24925,63.084090180000004,58.0,80.1730456,33.00001,57.02288,54.00508,35.065141,48.07821940534,6.0,35.892181,3.0,68.05605983,99.0233980189829
ABCB9,41.90329,47.739599999999996,47.466480000000004,36.070090228533005,21.61482,37.86469,10.67249,43.54629,17.05499,15.0703360361356,24.866979999999998,9.0,17.48125,6.046469999999999,64.490958,48.31552492
ABCC1,440.7128,333.40662000000003,624.2433817504,372.35483999999997,327.99980075830496,497.225303338176,197.45737121278998,283.05456,325.06626400000005,195.0167600867419,334.793910163078,8.999998474146999,183.6686700293562,42.000020304757,522.16188359183,625.186230129
ABCC10,135.83294,128.3906,135.33359,113.12481,101.574161,169.28644,113.1463,114.65551,134.49562,74.5364760927,123.43431000000001,8.0000013,109.14495,8.999998999999999,162.50982,159.99997
ABCC11,4.21249,3.10064,6.5171,5.26996,5.36859,4.1727799999999995,0.0,4.56461,5.48321,2.04986,3.12051,0.0,4.70249,2.0,6.31151,4.21976
ABCC12,4.0,4.0,0.0,5.0,0.0,11.0,1.0,5.0,7.0,3.0,3.0,0.0,4.0,1.0,11.0,3.9999990000000003
ABCC13,342.00237000000004,174.0011,292.00761,440.00028,711.0000600000001,322.00016700000003,177.08911,240.0000111,370.01263,213.99999701787,175.99996278,30.0,384.00025,19.000003,410.1037,207.000189
ABCC2,23.208871000000002,19.13498,20.06988,28.01191,15.00053,40.55143,10.0,28.29431,33.526209,14.999991000000001,19.548659999999998,0.0,10.19748,6.01511,45.171679999999995,44.495
ABCC3,265.343526048,599.7115814,674.266216746615,365.184104628,377.72352,278.49170599999997,218.00039,159.20297,297.33550309619,328.90933,142.3316910293157,21.99995312,182.91554,31.326034481,343.42246,538.7795930679999
ABCC4,1759.04016618212,1229.1497307621,1582.63406011469,3298.9982500283927,2410.8471,1854.81233,872.7301000154592,1254.09848,1412.74548,1341.33986,643.809780492032,102.9998860226575,1448.6179,77.0000438023,1485.03158,1346.00165
ABCC5,414.22078,216.9999811287405,369.036117,237.000329953,360.99957,359.04923,256.999880050663,282.07619,196.0,173.00009,252.04628,20.0,182.02631,38.999953,499.20561999999995,421.05448
ABCC5-AS1,6.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ABCC6,0.0,17.392190939161,23.01288,21.920030705568,12.695053454029999,26.99999,5.0000031135595,23.875946,7.99999892848,0.0,15.772748979700001,0.0,15.000009271580002,0.0,25.68038769,20.402137572290002
ABCC6P1,11.0,1.92655,0.0,1.07999,2.30494,1.0,0.0,2.12405,0.0,3.0,2.22724,0.0,0.0,0.0,3.31957,2.5978529999999997
ABCC6P2,0.0,2.6812430000000003,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC8,40.64406,22.882849999999998,44.5781,22.230430000000002,19.6318,26.129112,14.2113,22.9387,19.658649999999998,18.221,23.33265,2.0000000248982,9.14297,3.0,36.7605,32.82276
ABCC9,67.3114,49.0839,110.7748,55.6805,37.27019,71.6315600149551,24.72181,40.7784,84.64721,44.5086,56.6697700363245,19.721600292414998,48.64149999999999,3.79638,97.4573,110.0538000098509
ABCD1,37.00002,46.99995415,81.99999,68.99996,47.999997,75.99999,57.999953999999995,48.99996,48.00005,21.0,61.00002,2.0,41.999970000000005,11.0,75.99995,100.00003199999999
ABCD1P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ABCD1P3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
ABCD1P4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD1P5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ABCD2,316.0,92.0,252.0,187.0,228.0,336.0,116.0,246.0,238.0,87.0,121.0,12.0,106.0,22.0,464.0,272.0
ABCD3,331.06518,165.13869,205.01147,237.25019,182.99967,337.40349000000003,142.00197,265.38279,243.02945000000003,43.10879,141.04873,5.000000095924,174.79014,30.000040000000002,422.73643999999996,376.06253
ABCD4,147.063283,86.77772,274.08708,150.122964408,128.60937,197.30264000000003,97.07052,201.00544,126.68512,86.696681,122.71289,6.0,87.092578,26.122070102865298,259.25699,222.9080372
ABCE1,480.04289,211.04058999999998,533.08062,534.75505,394.5459,650.7635,213.17960000000002,505.24449999999996,339.49051000000003,131.34918,236.06387699099997,23.030433,267.85474,43.999994,864.24195,882.3226500000001
ABCF1,394.05171,245.4571,397.002702,357.08861,297.93883,367.6735529,203.07634000000002,382.48619,306.96771,152.79951,205.61885407,43.00002,182.90887,41.00004,633.76412,545.0593200000001
ABCF2,70.27552,42.856320000000004,116.093,66.70023,69.73173,87.60636,49.335113,39.79849,38.6499,47.872930000000004,46.7270000149012,9.97471,45.249750000000006,6.742341,87.22261,84.51062114999999
ABCF2-H2BK1,109.283,73.2993,101.172,73.0436,56.7895,78.6089,36.3722,91.2051,89.8191,8.00733,27.7732,16.0253,53.0504,1.32162,76.8748,138.109
ABCF2P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ABCF2P2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ABCF3,164.99993,124.00003962,260.99998,198.172960381412,162.00002,245.50187,110.99994,285.40585557,146.096949,49.999951,122.99995,7.0,138.89489,12.0,317.22864000000004,323.99973
ABCG1,57.000009999999996,34.3694,71.55674,86.35378,52.60433,56.81502,19.10474,67.03162999999999,47.999974,9.071159999999999,30.52313,1.00000021,36.40074,11.06535,236.2448,111.42177
ABCG2,307.99989,147.01598,212.200000496677,310.8242,189.62746,243.09145,69.32574,181.99955160098,209.99970042919003,153.00036,85.69087,28.00000892082,281.00697,10.999972875865,183.0,198.00028
ABCG4,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0
ABCG5,5.0,3.10342,1.00269,1.0,0.0,1.02814,1.00044,1.02752,4.00033,1.06282,1.00033,0.0,1.0,1.0,2.04031,6.17587
ABCG8,21.875619999999998,15.827589999999999,13.6065,16.48698,12.58586,21.35659,7.30119,23.09894,15.91689,24.779519999999998,27.6783,0.0,10.191559999999999,4.16737,40.5753,30.561099999999996
ABHD1,19.6663,4.41381,22.6704,7.72927,4.0,14.3915,6.275665,10.24954,6.0,0.0,10.534322,0.0,1.04082,4.04402,24.1063,11.638670000000001
ABHD10,148.99994,72.99998,184.99993,162.00049,139.0002,204.0002,84.99996,183.00006,131.99955,25.00005,84.99991,10.999998,74.00002,13.0,241.00000000000003,261.0001
ABHD11,17.078998902000002,37.78956,22.64539005412,19.87919,24.285809999999998,34.426633636,22.02231,23.244593250900003,27.7866,11.562876,5.12528,19.3212,23.92559,3.0,39.298069674000004,41.33399
ABHD12,52.082119999999996,56.888680100326,107.61698,80.2287417284,46.999990000000004,64.86381,36.00002,23.0,64.626,31.72334,52.722489,8.0,41.801446,11.076693500000001,77.469112,96.08727999999999
ABHD12B,20.61105,10.52007,9.01949,8.577353,10.355229999999999,25.18014,10.278410000000001,17.101399999999998,20.87957,9.6464,5.4451,2.0,7.30337,3.11304,11.51971,7.7597000000000005
ABHD13,480.0,211.0,432.0,372.0,223.0,426.0,223.0,328.0,328.0,85.0,202.0,15.0,189.0,47.0,672.0,674.0
ABHD14A,63.81311,22.1755,49.16059,67.08687,33.15186,54.02438,31.14802,39.71522,31.34166,26.57445,17.39838,0.0,52.79656,5.0,73.4978,57.13332
ABHD14A-ACY1,0.0,2.0,0.0,0.0,1.457841931,3.0,2.63517,0.0,3.730120292978,0.0,5.697939999999999,0.0,0.0,1.0,1.1887,3.414403
ABHD14B,109.00006,56.000029999999995,135.99956999999998,139.0,71.0,133.000227,71.00007000000001,69.99996,67.99996,32.0,73.00004,4.0,81.99999999999999,12.0,106.00001999999999,129.99957999999998
ABHD15,102.705,81.8719,205.404,199.677,180.622,128.276,94.8116,159.138,113.883,34.6578,92.066,7.0,149.038,18.3931,286.2,243.614
ABHD15-AS1,1.25449,0.0,0.828769,0.0,0.0,0.0,0.0,5.25496,0.00935062,0.0,0.0,0.0,0.394356,0.0,0.0,0.0
ABHD16A,236.42595008435381,206.57855,225.000493236,259.326917,215.40716,244.142613,134.00001,269.99445000000003,145.75435776999998,81.99993,141.99961,15.99999,132.00014124065,11.99996,296.00009,292.84462
ABHD16B,0.0,2.21785,0.0,1.34809,2.17894,0.0,0.0,0.0,0.0,6.28311,2.53836,0.0,0.0,0.0,0.0,0.0
ABHD17A,748.2172,488.93237,1060.00028,856.619058,637.45823,845.4389,714.8685,1079.46128,585.99994,231.8276,589.0461,33.0,558.667,73.77083999999999,1350.4615999999999,961.02783450346
ABHD17AP1,2.55953,0.0,0.0,0.0,0.0,1.18882,0.0,0.0,0.0,3.17238,1.35764,0.0,0.0,0.0,1.20481,1.27207
ABHD17AP3,0.0,0.0,0.0,1.03018,2.06767,1.0,0.0,0.0,0.0,0.0,1.02603,0.0,0.0,0.0,1.00462,1.03604
ABHD17AP4,0.0,0.0,0.0,0.0,0.0,2.18649,0.0,0.0,0.0,0.0,0.0,0.0,1.13563,1.22914,0.0,1.51453
ABHD17AP5,10.2237,4.06766,0.0,5.23921,0.0,0.0,2.13012,3.04565,0.0,0.0,8.35448,0.0,3.1975,0.0,4.04321,9.03044
ABHD17AP6,0.0,0.0,0.0,1.11174,2.47427,2.18599,0.0,12.4929,0.0,0.0,2.21578,0.0,0.0,0.0,5.01416,1.11916
ABHD17AP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17AP8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17AP9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ABHD17B,134.7224,84.0,119.042,140.3049,124.99978,144.8904,72.4929,143.1284,87.2594,33.01822,79.2902,2.0,106.0633,4.0,198.21040000000002,187.1585
ABHD17C,15.000001000000001,5.0000009096,22.99996,16.99997,18.99995,17.00001,12.999970000000001,15.99999,16.99997,4.0,2.0,0.0,11.0,2.0,20.0,12.0
ABHD18,382.0518,197.0396,290.05989999999997,311.4546,265.93510000000003,328.29052,133.93671999999998,299.57642999999996,258.0752,111.81460000000001,206.7167,31.244280673372998,206.78143,41.36011,472.3445,425.3335
ABHD2,1342.265,771.5123600000001,1343.9801900168832,1618.80809,1337.68,1341.68918,793.5152099999999,1166.4505100000001,1034.77174,364.07148,689.3508944,73.07724,1020.87051,82.23544000000001,1803.0870900000002,1690.83029
ABHD3,276.4167,128.2411,220.61664,175.98766,167.20652,296.6366,170.00002,249.33431,176.99998,48.00315,149.260506,6.000003,123.65313101007,19.999961000000003,497.05421,245.11688
ABHD4,96.9999,186.00047999999998,118.99993,117.47713,85.00001,83.000042,45.00003,60.00004,82.00005999999999,60.99998000000001,57.0,5.0,62.0,5.000004000000001,114.99998,106.00001
ABHD5,232.18827,128.86234,231.5742,274.90471,294.99443,254.24993,151.300672,237.050044,153.04692,75.89783,167.94517699068,15.00003,135.56236,25.00463,329.0851100217774,521.0886000208131
ABHD6,35.0739,17.63852,67.01259999999999,45.05074,60.00481,48.73676,29.00004,55.0,60.958,13.999973,31.000041000000003,0.0,24.0,6.0,81.00841,65.14263000000001
ABHD8,21.4532,21.0,35.000022,27.5487,34.99999,31.0,18.00002,17.000006,18.426470000000002,3.0,14.9311,0.0,19.28234,5.0,36.311048,40.67608
ABI1,1117.6433,780.9996,1261.9987,870.99959,846.9997,1033.3912,482.77127,1253.6638,893.07505,431.0,492.58188,63.999971349999996,613.74943,128.0000875857,1408.6215,1405.6851
ABI1P1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI2,344.71755953,236.55253000000002,314.2152,203.3148,176.656486,295.3999466,120.18054,175.56361,287.499135,190.10598000000002,165.72679000000002,35.0093754958,160.35710834385,31.823079908799997,350.78977,310.05528
ABI3,83.99999,50.99999,161.00043000000002,88.00003,105.00005,91.00003,70.00001999999999,136.00039,125.00012000000001,40.99998,79.0,10.0,69.39241,15.99995,122.99999,107.99992
ABI3BP,18.00319,12.0,46.00676,24.00895,11.00384,41.007400000000004,12.001502,35.521755999999996,35.04284,4.00126,35.004571999999996,7.0,18.999996,0.0,44.02163,50.095541999999995
ABITRAM,83.99995,35.0,71.0,78.00001,58.0,97.99997,42.000009999999996,54.0,52.0,19.0,38.0,3.0,24.0,19.000049999999998,101.99995,114.99994
ABITRAMP1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABL1,154.00043,94.99998,241.9999,168.0005,164.00039999999998,167.99988,95.99999,123.0,165.00039,61.00002,120.00027200000001,6.0,109.99992,19.000045999999998,204.99967,239.00049
ABL2,324.75606,167.56965424,452.25176,279.87964,206.36096,298.37489,193.12422,222.92719,258.98786,115.45710000000001,208.595600321245,22.933632000000003,149.62075,27.77309,450.7831700351518,465.611090392259
ABLIM1,1451.15,791.215909487,1096.71897,1029.48232,990.03497,1603.0585131199998,512.0367,964.74312,984.9298799999999,619.87843,560.7665531900001,78.16054374699999,694.8703399999999,141.0246477577,2041.47069066,1821.76855
ABLIM2,4.0,11.0,18.0,8.0,10.0,14.999986999999999,3.0,13.0,10.0,6.0,4.0,0.0,1.0,1.0,8.999996,13.99999887
ABLIM3,78.0,197.99960000000002,145.0,49.99999,69.00003,73.99996,63.00002,12.0,89.0,96.0,23.000030000000002,9.999993,32.999981,2.0,58.0,70.99994
ABO,79.54542000000001,41.917,56.44596,56.5395,27.824849999999998,53.57109,24.4792391,56.4053,55.851960000000005,50.73402,33.288380000000004,1.0,36.14,11.000002,118.87219999999999,89.42939
ABR,406.14742005691653,266.852955,468.1877,313.61776000000003,252.50398,356.96453329311004,217.0824,272.03911,291.5835,133.63166,287.04295,22.00001,174.12986,33.3916497056,499.12220085662295,526.1764900000001
ABR-AS1,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
ABRA,10.0298,5.0096,10.4142,5.01979,8.0,13.0616,3.0,16.0,5.00924,0.0,11.0,0.0,1.01544,0.0,6.02417,5.01625
