,case_sample_1,case_sample_2,case_sample_3,case_sample_4,case_sample_5,case_sample_6,case_sample_7,case_sample_8,case_sample_9,case_sample_10,case_sample_11,case_sample_12,case_sample_13,case_sample_14,case_sample_15,case_sample_16,case_sample_17,case_sample_18,case_sample_19,case_sample_20,case_sample_21,case_sample_22,case_sample_23,case_sample_24,case_sample_25,control_sample_1,control_sample_2,control_sample_3,control_sample_4,control_sample_5,control_sample_6,control_sample_7,control_sample_8,control_sample_9,control_sample_10,control_sample_11,control_sample_12,control_sample_13,control_sample_14,control_sample_15,control_sample_16,control_sample_17,control_sample_18,control_sample_19,control_sample_20,control_sample_21,control_sample_22,control_sample_23,control_sample_24,control_sample_25,control_sample_26,control_sample_27,control_sample_28,control_sample_29,control_sample_30,control_sample_31,control_sample_32,control_sample_33
FAM41C,1.0,1.09662239435453,4.00937229145722,1.0,2.23362900005168,2.98742258903824,1.0,1.0,2.78727502562439,1.0,1.0,1.0,1.0,2.57991861138733,1.0,3.50051074266709,1.0,16.2327913796146,1.0,1.05726303870232,1.68647463515833,1.0,2.72273418383108,1.0,1.0,1.57888495915917,3.27916823392468,1.0,1.0,1.09079524899502,2.53983974178685,1.0,2.30189769232205,2.25468567162411,5.55879970083068,3.45943048479894,9.59694684230853,1.64324856739526,1.0,4.04880954644497,1.0,1.0,6.91960100737444,1.0,1.0,1.0,1.0,9.14891676806067,1.45951664411132,3.39013826451785,1.0,1.0,11.1857857583223,2.87013476650654,1.35092904878311,1.35212689605559,1.0,1.0
LOC100130417,1.34556490523554,1.0,2.40562337487433,1.0,3.35044350007753,2.98742258903824,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.6072869732477,2.96612745826523,1.0,1.0,1.0,3.6303122451081,1.0,2.82109244242714,1.0,1.0,1.0,1.0,1.09079524899502,1.0,1.0,3.45284653848307,2.25468567162411,4.16909977562301,1.0,3.5988550658657,1.0,1.53655084454443,2.69920636429665,1.0,1.0,1.38392020147489,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.99111609895144,1.0,1.0,1.0,1.0,2.82802833285911
SAMD11,8.07338943141327,2.19324478870905,12.0281168743717,2.40661272801747,7.8177015001809,5.97484517807647,3.88490329789237,1.0,4.45964004099902,2.24743650731374,6.14744616197481,2.12832366898638,1.0,1.71994574092489,2.65489578823039,2.62538305700032,1.0,7.2145739464954,4.44919118739785,1.0,2.5297119527375,3.63258060662615,10.8909367353243,2.43444232571495,12.6949159909221,1.57888495915917,3.27916823392468,2.63323311158034,1.0,1.09079524899502,1.0,1.35138713320774,2.30189769232205,1.12734283581206,2.77939985041534,1.72971524239947,21.5931303951942,3.28649713479051,6.91447880044992,4.04880954644497,1.0,2.16514341750749,8.30352120884933,2.62372055137835,1.0,4.51985477194328,1.58517530274551,2.03309261512459,1.45951664411132,1.13004608817262,2.6810558170792,1.0,13.9822321979029,1.91342317767103,2.02639357317467,9.46488827238914,2.09282641656158,1.0
NOC2L,95.5351082717237,72.3770780273987,97.0268094532648,56.5553991084105,79.2938295018348,88.128966376628,146.978841436928,149.920336552655,79.1586107277326,143.835936468079,118.557890266657,42.5664733797277,84.9656609323795,81.6974226939322,84.9566652233724,140.457993549517,84.3130338827569,64.9311655184586,82.3100369668602,50.7486258577116,81.7940198051792,68.4136014247925,87.1274938825945,75.4677120971635,105.790966591018,85.7860827809815,72.1417011463429,86.2383844042563,60.8788211182939,73.0832816826666,61.8027670501467,131.760245487755,59.8493400003733,86.2417269396223,69.4849962603835,68.323752074779,91.1709950019311,85.4489255045534,123.692342985826,67.4801591074162,165.432524407214,80.8320209202795,45.6693666486713,75.2133224728459,97.0673346238734,63.2779668072059,85.0710745806756,71.1582415293608,72.489326657529,83.6234105247735,63.4516543375412,58.8003916358301,123.043643341545,66.0130996296504,85.7839945977276,106.818024788392,119.709671027323,84.8408499857733
KLHL17,45.0764243253907,25.2223150701541,44.9049696643209,30.0826591002184,26.8035480006202,29.1273702431228,33.6691619150672,23.0646671619469,41.2516703792409,28.0929563414217,32.4936439990097,14.8982656829047,1.0,31.8189962071104,20.3542010430996,17.5025537133354,22.4834757020685,27.0546522993577,33.3689339054838,12.6871564644279,25.297119527375,21.7954836397569,35.395544389804,25.1559040323878,36.6742017515528,31.051404196797,49.1875235088702,21.7241731705378,20.6202458626479,21.8159049799005,22.8585576760817,25.0006619643433,34.5284653848307,30.4382565669255,22.2351988033227,17.2971524239947,40.7870240798113,28.4829751681845,27.6579152017997,28.3416668251148,32.8930165488028,26.7034354825923,17.9909626191736,20.1151908939006,25.7835107594664,31.07400155711,39.6293825686377,15.2481946134344,19.4602219214843,13.5605530580714,19.6610759919142,21.2066986227584,48.9378126926601,22.9610781320523,16.2111485853973,28.3946648171674,25.9510475653637,45.2484533257458
PLEKHN1,3.36391226308886,1.09662239435453,12.0281168743717,1.20330636400873,15.6354030003618,20.1651024760081,4.53238718087443,1.0,1.67236501537463,6.74230952194122,6.14744616197481,1.0,1.0,5.15983722277466,4.42482631371731,5.68832995683402,1.0,21.6437218394862,7.41531864566308,5.28631519351162,2.5297119527375,6.65973111214794,13.6136709191554,3.24592310095327,9.87382354849499,3.68406490470473,1.0,2.63323311158034,3.9276658785996,1.0,1.69322649452457,3.37846783301936,3.45284653848307,3.38202850743617,12.507299326869,2.5945728635992,39.5874057245227,3.28649713479051,10.755855911811,10.7968254571866,5.80464997920049,3.60857236251248,8.30352120884933,1.0,1.0,1.69494553947873,1.58517530274551,1.0,1.0,1.13004608817262,1.0,1.92788169297804,23.7697947364349,4.78355794417756,1.35092904878311,4.05638068816678,2.92995698318622,5.65605666571822
PERM1,10.7645192418844,1.0,16.0374891658289,1.0,14.5185885003359,15.6839685924507,2.58993553192825,1.0,2.78727502562439,1.12371825365687,4.39103297283915,1.0,1.0,2.57991861138733,1.0,1.31269152850016,1.0,16.2327913796146,2.96612745826523,1.05726303870232,1.0,1.21086020220872,15.4288270417094,1.62296155047663,9.87382354849499,2.10517994554556,1.0,1.0,2.9457494089497,1.0,1.0,1.35138713320774,1.0,1.0,8.33819955124602,4.32428810599867,34.7889323033684,2.19099808986034,2.30482626681664,6.74801591074162,1.0,1.44342894500499,6.91960100737444,1.0,1.0,1.12996369298582,1.05678353516367,3.04963892268689,1.0,1.0,1.0,1.0,26.5662411760155,1.0,2.70185809756622,4.05638068816678,1.0,2.82802833285911
HES4,5.38225962094218,8.7729791548362,7.216870124623,18.049595460131,4.46725800010337,8.21541211985515,1.94245164894618,1.0,6.13200505637365,10.1134642829118,6.14744616197481,9.57745651043873,1.0,6.01981009323711,5.30979157646077,7.87614917100095,11.2417378510343,1.80364348662385,14.0891054267598,20.0879977353442,1.68647463515833,7.87059131435666,11.7985147966013,17.0410962800047,7.05273110606785,3.68406490470473,26.2333458713974,7.24139105684595,3.9276658785996,2.18159049799005,5.92629273083599,6.08124209943485,13.8113861539323,8.45507126859042,2.77939985041534,1.72971524239947,7.1977101317314,6.02524474711594,6.14620337817771,1.34960318214832,4.83720831600041,1.0,4.15176060442467,4.37286758563058,13.6500939314822,2.25992738597164,17.9653200977824,3.04963892268689,1.0,1.13004608817262,7.14948217887788,2.89182253946705,6.99111609895144,1.0,6.079180719524,12.1691420645003,4.60421811643549,19.7961983300138
ISG15,117.064146755492,517.605770135336,129.101787784923,181.699260965319,88.2283455020415,123.978037445087,77.0505820748653,46.1293343238938,104.244085958352,187.660948360697,107.141204537275,471.423692680484,127.448491398569,125.556039087517,180.532913599666,464.692801089056,185.488674542065,84.7712438713209,220.234963776193,1612.32613402105,69.9886973590709,138.038063051794,286.79466736354,153.369866520042,91.6855043788821,157.888495915917,177.075084631933,159.310603250611,191.473711581731,133.077020377393,165.936196463408,229.735812645317,180.698968847281,142.045197312319,61.1467967091375,127.998927937561,89.9713766466425,138.032879661202,119.082690452193,93.1226195682344,127.702299542411,44.7462972951547,77.4995312825938,204.650203007511,109.959090003607,122.601060688961,178.068025675079,81.3237046049837,70.0567989173435,75.7130879075652,621.111264290015,95.4301438024127,120.247196901965,97.5845820612223,78.3538848294205,140.621197189782,149.846371425809,175.337756637265
AGRN,27.5840805573287,18.6425807040269,61.7443332884412,10.8297572760786,42.438951000982,44.8113388355735,21.366968138408,1.0,11.7065551076224,26.9692380877649,28.1026110261706,7.44913284145234,1.0,17.1994574092489,15.9293747293823,45.5066396546722,11.2417378510343,25.2510088127339,22.2459559369892,37.0042063545814,8.43237317579167,11.5031719209828,58.9925739830067,12.1722116285748,26.8003782030578,17.3677345507508,3.27916823392468,12.5078572800066,7.85533175719921,8.72636199196019,5.92629273083599,17.5680327317007,36.8303630771528,5.63671417906028,30.5733983545688,17.2971524239947,81.5740481596225,6.02524474711594,16.1337838677165,21.5936509143732,27.0883665696023,10.8257170875374,6.91960100737444,5.24744110275669,10.6167397244862,7.34476400440783,9.51105181647304,7.11582415293608,4.37854993233397,4.52018435269046,14.2989643577558,9.63940846489018,75.5040538686756,2.87013476650654,11.4828969146564,18.9297765447783,18.4168724657419,8.48408499857733
RNF223,2.69112981047109,1.0,2.40562337487433,1.0,1.11681450002584,3.7342782362978,1.0,1.0,1.0,1.0,3.51282637827132,1.0,1.0,1.0,1.0,1.0,1.0,3.6072869732477,1.0,1.0,1.0,1.0,6.35304642893918,1.0,1.41054622121357,1.0,1.0,1.0,1.0,1.09079524899502,1.0,1.0,2.30189769232205,1.0,1.0,1.0,7.1977101317314,1.0,1.0,1.34960318214832,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.38933931874173,1.0,1.0,1.35212689605559,1.0,1.0
C1orf159,24.2201682942398,23.029070281445,40.0937229145722,26.4727400081922,26.8035480006202,27.6336589486037,33.0216780320851,23.0646671619469,21.1832901947453,25.845519834108,27.2244044316027,11.7057801794251,28.3218869774598,19.7793760206362,28.3188884077908,22.7533198273361,28.1043446275856,18.0364348662385,18.5382966141577,19.0307346966418,24.4538822097958,16.3466127298177,32.6728102059729,21.0985001561962,23.9792857606307,15.7888495915917,1.0,20.4075566147477,21.6021623322978,10.9079524899502,16.9322649452457,24.3249683977394,8.05664192312717,19.728499626711,9.7278994764537,13.8377219391958,43.1862607903884,21.9099808986034,21.511711823622,20.2440477322249,30.9581332224026,18.7645762850649,6.91960100737444,21.8643379281529,23.5084951042193,24.2942193991951,30.1183307521646,5.08273153781148,15.0816719891503,12.4305069698988,24.1295023537128,21.2066986227584,34.9555804947572,10.5238274771906,8.78103881709023,17.5776496487227,21.3468294489282,16.9681699971547
LINC01342,4.03669471570663,1.0,6.41499566633156,1.0,4.46725800010337,5.97484517807647,1.29496776596412,1.0,1.0,1.12371825365687,1.0,1.0,1.0,1.71994574092489,1.0,1.0,1.0,12.6255044063669,3.70765932283154,1.0,1.0,1.0,6.35304642893918,1.62296155047663,4.23163866364071,1.05258997277278,1.0,1.0,1.9638329392998,1.09079524899502,1.0,1.0,4.6037953846441,1.0,11.1175994016614,1.0,11.9961835528857,1.0,1.53655084454443,9.44722227503827,1.0,2.88685789000998,5.53568080589955,1.0,2.27501565524703,1.12996369298582,1.0,2.03309261512459,1.0,1.0,2.6810558170792,1.0,12.5840089781126,1.0,1.0,1.35212689605559,1.0,2.82802833285911
MIR200B,1.0,1.09662239435453,1.60374891658289,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.80364348662385,1.0,1.0,1.0,1.0,1.81515612255405,1.0,1.41054622121357,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.5988550658657,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.70425379211118,1.0,1.0
MIR200A,1.0,1.0,1.0,1.0,1.11681450002584,1.0,1.0,1.0,1.0,1.0,1.75641318913566,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.82109244242714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.39822321979029,1.0,1.0,1.0,1.0,1.0
MIR429,1.0,1.0,1.0,1.0,1.11681450002584,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.05726303870232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.15094884616102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.39822321979029,1.0,1.0,1.0,1.0,1.0
TTLL10,3.36391226308886,1.0,14.433740249246,1.20330636400873,16.7522175003876,14.1902572979316,1.0,1.0,1.11491001024975,2.24743650731374,5.26923956740698,1.0,1.0,1.0,1.0,3.93807458550047,1.0,16.2327913796146,5.93225491653046,2.11452607740465,1.68647463515833,2.42172040441743,15.4288270417094,1.62296155047663,23.9792857606307,1.05258997277278,1.0,1.0,1.9638329392998,3.27238574698507,1.0,1.0,5.75474423080512,1.12734283581206,11.1175994016614,1.72971524239947,23.9923671057713,1.09549904493017,3.07310168908885,8.09761909288994,1.93488332640016,1.0,11.0713616117991,1.0,1.0,1.12996369298582,1.0,1.0165463075623,1.0,1.13004608817262,1.0,1.0,25.1680179562252,1.0,4.05278714634933,6.76063448027796,1.0,5.65605666571822
TNFRSF18,16.1467788628265,9.86960154919073,15.2356147075375,28.8793527362096,15.6354030003618,29.1273702431228,14.2446454256054,1.0,16.1661951486214,17.9794920585099,12.2948923239496,11.7057801794251,14.1609434887299,13.7595659273991,24.7790273568169,15.7522983420019,44.966951404137,7.2145739464954,14.8306372913262,21.1452607740465,5.059423905475,15.7411826287133,15.4288270417094,18.6640578304813,18.3371008757764,18.4203245235236,19.6750094035481,11.1912407242165,8.83724822684911,18.5435192329154,11.0059722144097,12.8381777654736,6.90569307696615,29.8745851490195,15.2866991772844,5.18914572719841,20.3935120399056,6.02524474711594,18.4386101345331,8.09761909288994,8.70697496880074,10.1040026150349,6.91960100737444,10.4948822055134,21.2334794489723,16.3844735482944,36.4590319631467,12.1985556907476,3.89204438429686,16.9506913225892,19.6610759919142,7.71152677191214,44.7431430332892,8.61040429951961,13.5092904878311,25.6904110250562,12.9755237826818,16.9681699971547
TNFRSF4,28.2568630099464,24.1256926757996,25.6599826653262,39.7091100122882,14.5185885003359,29.1273702431228,14.8921293085874,11.5323335809735,27.8727502562439,47.1961666535885,16.6859252967888,12.7699420139183,14.1609434887299,24.0792403729484,25.6639926195604,31.9421605268372,16.8626067765514,21.6437218394862,22.9874878015555,29.6033650836651,8.43237317579167,29.0606448530092,22.6894515319256,31.6477502342944,12.6949159909221,23.1569794010011,19.6750094035481,17.7743235031673,13.7468305750986,17.4527239839204,19.4721046870325,28.3791297973626,24.1699257693815,26.4925566415833,8.33819955124602,6.91886096959788,33.5893139480799,13.1459885391621,29.1944660463441,13.4960318214832,18.3813916008016,5.05200130751747,9.68744141032422,18.3660438596484,15.9251095867292,22.5992738597164,20.6072789356916,13.2151019983099,5.35156102840818,9.04036870538092,5.36211163415841,14.4591126973353,37.7520269343378,4.78355794417756,7.43010976830711,33.8031724013898,20.0911335989912,31.1083116614502
SDF4,117.064146755492,106.372372252389,153.959895991957,164.852971869197,107.214192002481,144.143139921095,166.40335792639,138.388002971681,150.512851383717,242.723142789884,152.807947454802,124.506934635703,169.931321864759,118.676256123817,110.620657842933,240.222549715529,168.626067765514,84.7712438713209,129.026544434538,150.13135149573,65.772510771175,120.480590119767,152.47311429454,131.459885588607,129.770252351648,106.837882236437,196.750094035481,156.677370139031,117.829976357988,148.348153863323,115.139401627671,177.707408016818,95.528754231365,126.26239761095,108.396594166198,138.377219391958,146.353439345205,163.777107217061,189.764029301237,109.317857754014,204.130190935217,191.976049685664,113.481456520941,154.799512531322,156.217741660296,146.895280088157,147.421303155332,76.2409730671722,107.517726116201,118.654839258125,121.541197040924,93.5022621094347,130.034759440497,108.108409538413,118.206291768522,185.241384759616,159.05480765868,149.885501641533
B3GALT6,80.7338943141327,96.5027707031982,86.602441495476,86.6380582086289,62.5416120014472,78.4198429622537,96.4750985643272,126.855669390708,96.9971708917286,102.258361082775,79.9168001056725,89.3895940974281,127.448491398569,70.5177753779204,127.434997835059,87.0752047238438,106.796509584825,64.9311655184586,83.0515688314265,106.783566908935,81.7940198051792,95.0525258733842,91.6653841889796,86.8284429504999,63.4745799546107,98.4171624542548,55.7458599767195,102.037783073738,76.5894846326923,104.716343903522,107.51988240231,79.7318408592569,70.2078796158225,139.226840222789,88.9407952132909,70.0534673171785,74.3763380278911,74.4939350552517,129.070270941732,82.3257941110478,87.0697496880074,79.3885919752745,74.731690879644,97.0776604009988,92.5173033133794,127.685897307398,126.285632452059,49.8107690705525,93.8955707711617,100.574101847363,87.581156691254,66.5119184077422,123.043643341545,85.1473314063606,80.3802784025951,102.761644100225,102.129929128205,98.9809916500689
FAM132A,2.01834735785332,1.09662239435453,8.01874458291445,1.20330636400873,2.23362900005168,11.2028347088934,1.0,11.5323335809735,1.11491001024975,3.37115476097061,5.26923956740698,1.0,1.0,2.57991861138733,1.76993052548692,1.0,1.0,1.0,2.22459559369892,2.11452607740465,1.0,1.81629030331307,13.6136709191554,4.05740387619158,7.05273110606785,1.05258997277278,1.0,1.97492483368526,1.0,1.0,1.0,2.02708069981162,1.0,2.25468567162411,1.38969992520767,2.5945728635992,22.7927487504828,1.0,1.0,4.04880954644497,2.90232498960025,2.16514341750749,1.0,1.0,1.51667710349802,1.0,1.0,1.0,1.0,1.0,1.0,1.92788169297804,16.7786786374835,1.0,2.02639357317467,5.40850758422237,1.67426113324927,1.0
